报告开始日期,报告结束日期,广告名称,广告投放,成效,成效指标,单次成效费用,广告组名称,展示次数,"CPM（千次展示费用） (USD)","已花费金额 (USD)",应用安装量,"单次应用安装费用 (USD)",订阅次数,"单次订阅费用 (USD)",购物次数,"单次购物费用 (USD)","广告花费回报 (ROAS) - 购物",点击率（全部）,custom_derived_metrics:334261784830934,"单次展示的播放视频达 3 秒率","视频播放进度达 100% 的次数",结果（初始）,成效（初始）指标
2026-06-01,2026-06-18,20260611_GrowMe_EN_9x16_FX-Mindset_ZT-brain_RS-P3X1R1C3_gy_jql,inactive,1,actions:app_custom_event.fb_mobile_purchase,83.44,可重启260611_ABO_AEO-Purchase_ios_vid_Growme_WW_0611_joy,31007,2.691005,83.44,44,1.896364,3,27.813333,1,83.44,0.386385,1.580288,0.1260745,16.70913,110,,
2026-06-01,2026-06-18,20260612_growme_EN_9x16_FX-LifeLessons_ZT-patience_RS-P1X1R3C3_wxx,inactive,5,actions:app_custom_event.fb_mobile_purchase,67.848,重启260613_ABO_AEO-Purchase_ios_vid_Growme_WW_0612_joy,129090,2.627934,339.24,176,1.9275,14,24.231429,5,67.848,0.394087,1.573321,0.13363705,18.013014,1144,,
2026-06-01,2026-06-18,20260612_GrowMe_EN_9x16_FX-Mindset_ZT-see_RS-P3X1R1C3_gy,inactive,,,,重启260613_ABO_AEO-Purchase_ios_vid_Growme_WW_0612_joy,1309,2.421696,3.17,,,,,,,,0.91673,0,25.974026,26,,
2026-06-01,2026-06-18,20260612_GrowMe_EN_9x16_FX-Learning_ZT-confident_RS-P3X1R1C3_gy,inactive,,,,重启260613_ABO_AEO-Purchase_ios_vid_Growme_WW_0612_joy,4751,3.369817,16.01,7,2.287143,,,,,,3.409808,0.04142012,26.289202,173,,
2026-06-01,2026-06-18,"20260612_GrowMe_EN_9x16_FX-Communication_ZT- battle_RS-P3X1R1C3_gy",inactive,1,actions:app_custom_event.fb_mobile_purchase,72.48,重启260613_ABO_AEO-Purchase_ios_vid_Growme_WW_0612_joy,26168,2.769795,72.48,39,1.858462,5,14.496,1,72.48,0.201711,1.70055,0.1349481,17.471721,186,,
2026-06-01,2026-06-18,20260612_growme_EN_9x16_FX-LifeLessons_ZT-jounrey_RS-P1X1R3C3_wxx,not_delivering,3,actions:app_custom_event.fb_mobile_purchase,20.41,重启260613_ABO_AEO-Purchase_ios_vid_Growme_WW_0612_joy,25422,2.408544,61.23,33,1.855455,5,12.246,3,20.41,0.582721,1.494768,0.13253012,18.401385,285,,
2026-06-01,2026-06-18,20260612_growme_EN_9x16_FX-Mood_ZT-rain_RS-P1X1R3C3_wxx,inactive,,,,重启260613_ABO_AEO-Purchase_ios_vid_Growme_WW_0612_joy,391,3.094629,1.21,,,,,,,,0.255754,0,16.879795,1,,
2026-06-01,2026-06-18,20260612_growme_EN_9x16_FX-Mood_ZT-rain2_RS-P1X1R3C3_wxx,inactive,,,,重启260613_ABO_AEO-Purchase_ios_vid_Growme_WW_0612_joy,594,4.208754,2.5,,,,,,,,0.505051,,14.646465,4,,
2026-06-01,2026-06-18,20260612_growme_EN_9x16_FX-Learning_ZT-read_RS-P1X1R3C3_wxx,inactive,,,,重启260613_ABO_AEO-Purchase_ios_vid_Growme_WW_0612_joy,14763,2.65461,39.19,14,2.799286,3,13.063333,,,,0.975412,0.1627907,17.977376,35,,
2026-06-01,2026-06-18,20260612_GrowMe_EN_9x16_FX-Mindset_ZT-powerful_RS-P3X1R1C3_gy,inactive,,,,重启260613_ABO_AEO-Purchase_ios_vid_Growme_WW_0612_joy,13932,3.16035,44.03,23,1.914348,,,,,,1.571921,0.17829457,15.86994,138,,
2026-06-01,2026-06-18,20260612_GrowMe_EN_9x16_FX-Mindset_ZT-reaction_RS-P3X1R1C3_gy,inactive,,,,重启260613_ABO_AEO-Purchase_ios_vid_Growme_WW_0612_joy,25872,1.811611,46.87,28,1.673929,,,,,,0.803958,0.26923077,18.521954,193,,
2026-06-01,2026-06-18,20260612_growme_EN_9x16_01_FX-Challenge_ZT-trauma_RS-P1X1R3C3_wxx,inactive,,,,重启260613_ABO_AEO-Purchase_ios_vid_Growme_WW_0612_joy,164,2.012195,0.33,,,,,,,,0,,20.731707,1,,
2026-06-01,2026-06-18,20260611_GrowMe_EN_9x16_FX-Mindset_ZT-seen_RS-P3X1R1C3_gy_jql,not_delivering,,,,可重启260611_ABO_AEO-Purchase_ios_vid_Growme_WW_0611_joy,528,2.19697,1.16,,,,,,,,1.704545,0,17.045455,6,,
2026-06-01,2026-06-18,20260611_GrowMe_EN_9x16_FX-Mindset_ZT-respect_RS-P3X1R1C3_gy_jql,not_delivering,,,,可重启260611_ABO_AEO-Purchase_ios_vid_Growme_WW_0611_joy,95,2.526316,0.24,,,,,,,,1.052632,0,22.105263,1,,
2026-06-01,2026-06-18,20260611_GrowMe_EN_9x16_FX-Learning_ZT-improve_RS-P3X1R1C3_fj,inactive,,,,可重启260611_ABO_AEO-Purchase_ios_vid_Growme_WW_0611_joy,16455,2.872075,47.26,27,1.75037,,,,,,1.349134,0.19708029,14.494075,63,,
2026-06-01,2026-06-18,20260611_GrowMe_EN_9x16_FX-mindset_ZT-love_RS-P3X1R1C3_gy_jql,not_delivering,,,,可重启260611_ABO_AEO-Purchase_ios_vid_Growme_WW_0611_joy,400,3.55,1.42,1,1.42,,,,,,2.5,0.14285714,18.75,1,,
