report_start,report_end,ad_name,广告投放,成效,成效指标,单次成效费用,account,impressions,CPM（千次展示费用） (USD),spend,installs,单次应用安装费用 (USD),subscriptions,单次订阅费用 (USD),purchases,单次购物费用 (USD),roas,ctr,custom_derived_metrics:334261784830934,基于展示次数的 3 秒视频播放率,帖子评论数,帖文互动,成效获得率,video_completions,结果（初始）,成效（初始）指标
2025-12-01,2026-08-26,20260729_growme_EN_9x16_FX-Reader_ZT-Learning-houtie_RS-P1X1R3C3_wxx,not_delivering,,,,260731_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0729/0730_joy,10,0.0,0.0,,,,,,,,0.0,,10.0,,1.0,,,,
2025-12-01,2026-08-26,20260728_growme_EN_9x16_FX-EnglishLearners_ZT-Learning-B1_RS-P1X1R3C3_wxx,not_delivering,,,,260731_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0729/0730_joy,272,2.5,0.68,,,,,,,,2.941176,0.0,26.102941,,79.0,,6.0,,
2025-12-01,2026-08-26,20260728_growme_EN_9x16_FX-EnglishLearners_ZT-Learning-migrant_RS-P1X1R3C3_wxx,not_delivering,,,,260731_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0729/0730_joy,247,2.712551,0.67,,,,,,,,1.214575,0.0,27.935223,,73.0,,,,
2025-12-01,2026-08-26,20260729_growme_EN_9x16_FX-EnglishReaders_ZT-learning-pic10_RS-P1X1R3C3_gy.jpg,inactive,,,,260731_AAA_AEO-Purchase_ios_pic_Growme_mexbra_1_joy,10493,3.083008,32.35,2.0,16.175,,,,,,0.676642,0.03125,,,75.0,,,,
2025-12-01,2026-08-26,20260729_GrowMe_EN_9x16_FX-SelfGrowth _ZT- Learning-pic12_RS-P3X1R1C3_fj,inactive,,,,260731_AAA_AEO-Purchase_ios_pic_Growme_mexbra_2_joy,7312,4.089168,29.9,2.0,14.95,,,,,,1.504376,0.01801802,,,123.0,,,,
2025-12-01,2026-08-26,20260727_growme_EN_9x16_FX-Readers_ZT-BookReading_LVL1-poster_RS-P1X1R3C3_pingme_BJY,inactive,,,,260731_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0731_joy,4829,5.984676,28.9,9.0,3.211111,,,,,,1.428867,0.20930233,15.883206,,857.0,,93.0,,
2025-12-01,2026-08-26,20260729_growme_EN_9x16_FX-EnglishLearners_ZT-Learning-srolliing_RS-P1X1R3C1_gy,not_delivering,,,,260731_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0729/0730_joy,53,4.150943,0.22,,,,,,,,1.886792,0.0,20.754717,,12.0,,1.0,,
2025-12-01,2026-08-26,20260729_GrowMe_EN_9x16_01_FX-SelfGrowth_ZT-learning-houtie_RS-P1X1R3C3_wxx,not_delivering,,,,260731_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0729/0730_joy,25,8.4,0.21,,,,,,,,0.0,,12.0,,3.0,,,,
2025-12-01,2026-08-26,20260729_growme_EN_4x5_FX-EnglishReaders_ZT-learning-pic3_RS-P1X1R3C3_gy,inactive,,,,260731_AAA_AEO-Purchase_ios_pic_Growme_mexbra_1_joy,16559,2.723594,45.1,1.0,45.1,,,,,,1.141373,0.00561798,,,204.0,,,,
2025-12-01,2026-08-26,20260729_growme_EN_9x16_FX-EnglishReaders_ZT-learning-pic6_RS-P1X1R3C3_gy,not_delivering,,,,260731_AAA_AEO-Purchase_ios_pic_Growme_mexbra_1_joy,422,2.701422,1.14,,,,,,,,0.473934,0.0,,,2.0,,,,
2025-12-01,2026-08-26,20260729_growme_EN_9x16_FX-EnglishReaders_ZT-learning-pic9_RS-P1X1R3C3_gy,not_delivering,,,,260731_AAA_AEO-Purchase_ios_pic_Growme_mexbra_1_joy,156,4.423077,0.69,,,,,,,,1.282051,0.0,,,2.0,,,,
2025-12-01,2026-08-26,20260729_growme_EN_4x5_FX-EnglishReaders_ZT-learning-pic2_RS-P1X1R3C3_gy,not_delivering,,,,260731_AAA_AEO-Purchase_ios_pic_Growme_mexbra_1_joy,5707,2.09392,11.95,,,,,,,,2.435605,0.0,,,139.0,,,,
2025-12-01,2026-08-26,20260729_growme_EN_4x5_FX-EnglishReaders_ZT-learning-pic1_RS-P1X1R3C3_gy,not_delivering,,,,260731_AAA_AEO-Purchase_ios_pic_Growme_mexbra_1_joy,4596,2.667537,12.26,1.0,12.26,,,,,,1.305483,0.01724138,,,68.0,,,,
2025-12-01,2026-08-26,20260730_growme_EN_9x16_FX-EnglishReaders_ZT-learning-pic5_RS-P1X1R3C3_pingme_LJQ,inactive,,,,260731_AAA_AEO-Purchase_ios_pic_Growme_mexbra_1_joy,6952,3.399022,23.63,4.0,5.9075,,,,,,1.6542,0.03571429,,,125.0,,,,
2025-12-01,2026-08-26,20260730_growme_EN_9x16_FX-EnglishReaders_ZT-learning-pic8_RS-P1X1R3C3_pingme_LJQ,not_delivering,,,,260731_AAA_AEO-Purchase_ios_pic_Growme_mexbra_1_joy,864,3.761574,3.25,,,,,,,,1.50463,0.0,,,12.0,,,,
2025-12-01,2026-08-26,20260730_growme_EN_9x16_FX-EnglishReaders_ZT-learning-pic6_RS-P1X1R3C3_pingme_LJQ,not_delivering,,,,260731_AAA_AEO-Purchase_ios_pic_Growme_mexbra_1_joy,912,3.497807,3.19,,,,,,,,4.276316,0.0,,,38.0,,,,
2025-12-01,2026-08-26,20260730_growme_EN_9x16_FX-Readers_ZT-Habits-pic13_RS-P1X1R3C3_pingme_GL,not_delivering,,,,260731_AAA_AEO-Purchase_ios_pic_Growme_mexbra_1_joy,718,1.643454,1.18,,,,,,,,0.557103,0.0,,,4.0,,,,
2025-12-01,2026-08-26,20260730_GrowMe_EN_9x16_FX-Students_ZT-Learning-pic10_RS-P1X1R3C3_pingme_GL,not_delivering,,,,260731_AAA_AEO-Purchase_ios_pic_Growme_mexbra_1_joy,720,3.611111,2.6,,,,,,,,1.25,0.0,,,9.0,,,,
2025-12-01,2026-08-26,20260730_growme_EN_9x16_FX-SelfGrowth_ZT-learning-pic3_RS-P1X1R3C3_pingme_Sherry,not_delivering,,,,260731_AAA_AEO-Purchase_ios_pic_Growme_mexbra_1_joy,114,3.333333,0.38,,,,,,,,2.631579,0.0,,,3.0,,,,
