report_start,report_end,ad_name,广告投放,成效,成效指标,单次成效费用,account,impressions,spend,ctr,custom_derived_metrics:334261784830934,installs,单次应用安装费用 (USD),subscriptions,单次订阅费用 (USD),purchases,单次购物费用 (USD),roas,基于展示次数的 3 秒视频播放率,video_completions,视频平均播放时长,结果（初始）,成效（初始）指标
2025-12-01,2026-08-31,20260828_growme_EN_9x16_FX-Selfgrowth _ZT-Growth-want_RS-P1X1R3C3_gy,active,,,,260828_INSTALL_ios_vid_Growme_US_0824week_joy,7,0.03,0.0,,,,,,,,,28.571429,1.0,6,,
2025-12-01,2026-08-31,20260828_growme_EN_9x16_FX-Selfgrowth _ZT-Growth-level_RS-P1X1R3C3_gy,active,1.0,actions:mobile_app_install,21.86,260828_INSTALL_ios_vid_Growme_US_0824week_joy,2509,21.86,1.952969,0.02564103,1.0,21.86,,,,,,22.638501,13.0,6,,
2025-12-01,2026-08-31,20260825_growme_EN_9x16_FX-Readers_ZT-Reading_LVL1-Plot_RS-P1X1R3C3_pingme_WPL,active,,,,260828_INSTALL_ios_vid_Growme_US_0824week_joy,21,0.05,38.095238,0.0,,,,,,,,80.952381,1.0,17,,
2025-12-01,2026-08-31,20260828_GrowMe_EN_9x16_FX-SelfGrowth_ZT-leader_RS-P3X1R1C3_fj,inactive,36.0,actions:mobile_app_install,1.29972222,260828_INSTALL_ios_vid_Growme_US_0824week_joy,3960,46.79,13.257576,0.06779661,36.0,1.299722,,,,,,54.69697,290.0,11,,
2025-12-01,2026-08-31,20260825_growme_EN_9x16_FX-EnglishLearners_ZT-Reading_LVL1-Podcast_RS-P1X1R3C3_pingme_WPL,active,,,,260828_INSTALL_ios_vid_Growme_US_0824week_joy,235,1.99,2.978723,0.0,,,,,,,,22.978723,,4,,
2025-12-01,2026-08-31,20260825_growme_EN_9x16_FX-Woman_ZT-Growth_LVL1-AI Chat_RS-P1X1R3C3_pingme_YZY,active,,,,260828_INSTALL_ios_vid_Growme_US_0824week_joy,15,0.18,6.666667,0.0,,,,,,,,40.0,,4,,
2025-12-01,2026-08-31,20260825_growme_EN_9x16_FX-EnglishLearners_ZT-Learning_LVL1-POV_RS-P1X1R3C3_pingme_ZYL,active,,,,260828_INSTALL_ios_vid_Growme_US_0824week_joy,120,0.65,28.333333,0.0,,,,,,,,63.333333,16.0,17,,
2025-12-01,2026-08-31,20260825_growme_EN_9x16_FX-Woman_ZT-Growth_LVL1-Plot_RS-P1X1R3C3_pingme_ZL,active,,,,260828_INSTALL_ios_vid_Growme_US_0824week_joy,44,0.25,11.363636,0.0,,,,,,,,52.272727,,10,,
2025-12-01,2026-08-31,20260825_growme_EN_9x16_FX-Readers_ZT-Reading_LVL1-Interview_RS-P1X1R3C3_pingme_BJY,active,,,,260828_INSTALL_ios_vid_Growme_US_0824week_joy,21,0.07,4.761905,,,,,,,,,28.571429,,3,,
2025-12-01,2026-08-31,20260825_growme_EN_9x16_FX-Readers_ZT-Book Reading_LVL1-AIRobot_RS-P1X1R3C3_pingme_ZYL,active,1.0,actions:mobile_app_install,0.66,260828_INSTALL_ios_vid_Growme_US_0824week_joy,110,0.66,15.454545,0.05882353,1.0,0.66,,,,,,49.090909,4.0,8,,
2025-12-01,2026-08-31,20260825_growme_EN_9x16_FX-EnglishLearners_ZT-Learning_LVL1-Street interview_RS-P1X1R3C3_pingme_YZY,inactive,15.0,actions:mobile_app_install,4.06066667,260828_INSTALL_ios_vid_Growme_US_0824week_joy,5362,60.91,2.368519,0.13043478,15.0,4.060667,1.0,60.91,,,,41.961954,52.0,7,,
2025-12-01,2026-08-31,20260825_growme_EN_9x16_FX-Professionals_ZT-WomenEmpowerment_LVL1-Plot_RS-P1X1R3C3_pingme_SZH,active,1.0,actions:mobile_app_install,0.13,260828_INSTALL_ios_vid_Growme_US_0824week_joy,29,0.13,51.724138,0.06666667,1.0,0.13,,,,,,96.551724,1.0,18,,
2025-12-01,2026-08-31,20260827_growme_EN_9x16_FX-women_ZT-SelfImprovement_RS-P1X1R3C3_wxx,active,,,,260828_INSTALL_ios_vid_Growme_US_0824week_joy,163,1.54,2.453988,0.0,,,,,,,,33.742331,3.0,7,,
2025-12-01,2026-08-31,20260824_GrowMe_EN_9x16_FX-reader_ZT-b1_RS-P3X1R1C3_fj,inactive,12.0,actions:mobile_app_install,2.80833333,260828_INSTALL_ios_vid_Growme_US_0824week_joy,6096,33.7,2.116142,0.12244898,12.0,2.808333,,,,,,23.146325,85.0,9,,
2025-12-01,2026-08-31,20260824_GrowMe_EN_9x16_FX-SelfGrowth_ZT-growth-3_RS-P3X1R1C3_fj,active,,,,260828_INSTALL_ios_vid_Growme_US_0824week_joy,25,0.18,12.0,0.0,,,,,,,,48.0,1.0,9,,
2025-12-01,2026-08-31,20260824_growme_EN_9x16_FX-Selfgrowth _ZT-Growth-waste_RS-P1X1R3C3_gy,active,,,,260828_INSTALL_ios_vid_Growme_US_0824week_joy,5,0.0,20.0,0.0,,,,,,,,60.0,1.0,23,,
2025-12-01,2026-08-31,20260824_growme_EN_9x16_FX-Selfgrowth _ZT-Growth-read_RS-P1X1R3C3_gy,inactive,27.0,actions:mobile_app_install,2.01703704,260828_INSTALL_ios_vid_Growme_US_0824week_joy,11288,54.46,1.576896,0.2231405,27.0,2.017037,,,,,,19.914954,154.0,6,,
2025-12-01,2026-08-31,20260825_growme_EN_9x16_FX-EnglishLearners_ZT-Learning_LVL1-Vlog_RS-P1X1R3C3_pingme_BJY,active,,,,260828_INSTALL_ios_vid_Growme_US_0824week_joy,127,2.23,13.385827,0.0,,,,,,,,31.496063,8.0,6,,
2025-12-01,2026-08-31,20260825_GrowMe_EN_9x16_FX-SelfGrowth_ZT- history_RS-P3X1R1C3_fj,active,5.0,actions:mobile_app_install,2.31,260828_INSTALL_ios_vid_Growme_US_0824week_joy,963,11.55,24.714434,0.02136752,5.0,2.31,,,,,,73.520249,27.0,15,,
