报告开始日期,报告结束日期,广告名称,广告投放,成效,成效指标,单次成效费用,广告组名称,展示次数,"CPM（千次展示费用） (USD)","已花费金额 (USD)",应用安装量,"单次应用安装费用 (USD)",订阅次数,"单次订阅费用 (USD)",购物次数,"单次购物费用 (USD)","广告花费回报 (ROAS) - 购物",点击率（全部）,custom_derived_metrics:334261784830934,"单次展示的播放视频达 3 秒率","视频播放进度达 100% 的次数",帖子评论数,帖文互动,结果（初始）,成效（初始）指标
2026-06-01,2026-07-06,"20260702_GrowMe_EN_9x16_FX-Professionals  _ZT-Growth-leader_RS-P3X1R1C3_gy_czy",inactive,,,,260703_ABO_AEO-Purchase_ios_vid_Growme_WW_0702_joy,5868,3.916155,22.98,5,4.596,,,,,,1.278119,0.11904762,16.104294,27,,1024,,
2026-06-01,2026-07-06,20260703_growme_EN_9x16_FX-EnglishLearners_ZT-Learning-niupizhi_LV1-hua_RS-P1X1R3C1_gy,inactive,,,,260703_ABO_AEO-Purchase_ios_vid_Growme_WW_0703_joy,6505,4.159877,27.06,7,3.865714,,,,,,1.491161,0.12068966,13.2206,45,1,942,,
2026-06-01,2026-07-06,20260703_GrowMe_EN_9x16_FX-EnglishLearners_ZT-Learning-slow-2_RS-P3X1R1C3_fj,inactive,,,,260703_ABO_AEO-Purchase_ios_vid_Growme_WW_0703_joy,6411,3.96974,25.45,12,2.120833,,,,,,1.591015,0.16901408,11.683045,31,,846,,
2026-06-01,2026-07-06,20260703_growme_EN_9x16_FX-EnglishLearners_ZT-Learning-niupizhi_LV1-color3_RS-P1X1R3C1_gy,inactive,,,,260703_ABO_AEO-Purchase_ios_vid_Growme_WW_0703_joy,10082,2.739536,27.62,13,2.124615,,,,,,1.4878,0.12264151,15.651656,89,,1744,,
2026-06-01,2026-07-06,20260703_growme_EN_9x16_FX-EnglishLearners_ZT-Learning-niupizhi_LV1-color2_RS-P1X1R3C1_gy,inactive,,,,260703_ABO_AEO-Purchase_ios_vid_Growme_WW_0703_joy,5679,3.444268,19.56,9,2.173333,1,19.56,,,,1.303046,0.20454545,17.344603,76,,1078,,
2026-06-01,2026-07-06,20260703_growme_EN_9x16_FX-EnglishLearners_ZT-Learning-niupizhi_LV1-color1_RS-P1X1R3C1_gy,inactive,1,actions:app_custom_event.fb_mobile_purchase,75.19,260703_ABO_AEO-Purchase_ios_vid_Growme_WW_0703_joy,34434,2.183598,75.19,44,1.708864,1,75.19,1,75.19,0.108791,1.074519,0.23404255,15.060696,323,,5604,,
2026-06-01,2026-07-06,"20260702_GrowMe_EN_9x16_FX-EnglishLearners_ZT-learning- rap_RS-P1X1R3C3_wxx",inactive,,,,260703_ABO_AEO-Purchase_ios_vid_Growme_WW_0702_joy,5759,2.908491,16.75,,,,,,,,0.573016,0,17.068936,32,,1029,,
2026-06-01,2026-07-06,20260702_GrowMe_EN_9x16_FX-SelfGrowth_ZT-Lifelessons-life_RS-P3X1R1C3_gy,active,,,,260703_ABO_AEO-Purchase_ios_vid_Growme_WW_0702_joy,60,3.166667,0.19,,,,,,,,0,,16.666667,,,10,,
2026-06-01,2026-07-06,"20260702_GrowMe_EN_9x16_FX-Students _ZT-SelfImprovement-Learning_RS-P3X1R1C3_gy_czy",active,,,,260703_ABO_AEO-Purchase_ios_vid_Growme_WW_0702_joy,368,2.907609,1.07,,,,,,,,1.086957,0,21.73913,1,,86,,
2026-06-01,2026-07-06,20260702_GrowMe_EN_9x16_FX-SelfGrowth_ZT-Lifelessons-life2_RS-P3X1R1C3_gy,inactive,,,,260703_ABO_AEO-Purchase_ios_vid_Growme_WW_0702_joy,4532,3.691527,16.73,13,1.286923,,,,,,1.125331,0.38235294,15.511915,63,,787,,
2026-06-01,2026-07-06,"20260702_GrowMe_EN_9x16_FX-Readers_ZT-Book Reading-read_RS-P3X1R1C3_gy_czy",active,1,actions:app_custom_event.fb_mobile_purchase,28.31,260703_ABO_AEO-Purchase_ios_vid_Growme_WW_0702_joy,12713,2.226854,28.31,17,1.665294,3,9.436667,1,28.31,1.639703,0.849524,0.25373134,16.612916,106,,2297,,
2026-06-01,2026-07-06,"20260702_GrowMe_EN_9x16_FX-Professionals  _ZT-Successful-CEO_RS-P3X1R1C3_gy_czy",active,,,,260703_ABO_AEO-Purchase_ios_vid_Growme_WW_0702_joy,1402,3.630528,5.09,,,,,,,,0.998573,0,16.191155,12,,248,,
2026-06-01,2026-07-06,20260702_GrowMe_EN_9x16_FX-LifeLessons_ZT-Overthinkers-Responsibility_RS-P3X1R1C3_gy_czy,active,,,,260703_ABO_AEO-Purchase_ios_vid_Growme_WW_0702_joy,1288,3.594721,4.63,,,,,,,,0.776398,0,16.925466,7,,237,,
2026-06-01,2026-07-06,20260702_GrowMe_EN_9x16_FX-Overthinkers_ZT-women_RS-P1X1R3C3_wxx,active,,,,260703_ABO_AEO-Purchase_ios_vid_Growme_WW_0702_joy,186,8.225806,1.53,,,,,,,,2.688172,0,23.655914,,,50,,
2026-06-01,2026-07-06,"20260702_GrowMe_EN_9x16_FX-EnglishLearners_ZT-learning- rap2_RS-P1X1R3C3_wxx",inactive,,,,260703_ABO_AEO-Purchase_ios_vid_Growme_WW_0702_joy,12424,1.70396,21.17,3,7.056667,,,,,,0.660013,0.08108108,33.169672,195,,4259,,
2026-06-01,2026-07-06,20260702_GrowMe_EN_9x16_FX-Readers_ZT-Learning-habbit_RS-P3X1R1C3_fj,inactive,,,,260703_ABO_AEO-Purchase_ios_vid_Growme_WW_0702_joy,7709,5.097937,39.3,20,1.965,,,,,,1.89389,0.16806723,17.719549,78,,1519,,
2026-06-01,2026-07-06,20260702_GrowMe_EN_9x16_FX-Overthinkers_ZT-Mindset-Overthinkers_RS-P1X1R3C3_fj,inactive,,,,260703_ABO_AEO-Purchase_ios_vid_Growme_WW_0702_joy,3532,4.929219,17.41,2,8.705,,,,,,2.519819,0.02272727,24.716874,45,,979,,
2026-06-01,2026-07-06,20260702_GrowMe_EN_9x16_FX-SelfGrowth_ZT-Discipline_RS-P1X1R3C3_wxx,active,,,,260703_ABO_AEO-Purchase_ios_vid_Growme_WW_0702_joy,1347,5.991091,8.07,3,2.69,1,8.07,,,,2.301411,0.15,21.158129,10,,312,,
2026-06-01,2026-07-06,20260701_GrowMe_EN_9x16_FX-Professionals_ZT-Learning-work_RS-P1X1R3C3_wxx,active,,,,260702_ABO_AEO-Purchase_ios_vid_Growme_WW_0701_joy,2424,3.927393,9.52,1,9.52,,,,,,2.681518,0.02325581,15.759076,14,,441,,
2026-06-01,2026-07-06,20260701_GrowMe_EN_9x16_FX-SelfGrowth_ZT-Growth-2540_RS-P1X1R3C3_wxx,inactive,,,,260702_ABO_AEO-Purchase_ios_vid_Growme_WW_0701_joy,5744,3.457521,19.86,12,1.655,,,,,,1.810585,0.15,16.051532,24,,1028,,
2026-06-01,2026-07-06,20260701_growme_EN_9x16_FX-Overthinkers_ZT-SelfImprovement_RS-P1X1R3C3_fj,active,,,,260702_ABO_AEO-Purchase_ios_vid_Growme_WW_0701_joy,2977,2.479006,7.38,,,,,,,,1.108498,0,16.560296,25,,527,,
2026-06-01,2026-07-06,20260701_GrowMe_EN_9x16_FX-SelfGrowth_ZT-lifelessons-old_RS-P1X1R3C3_wxx,inactive,5,actions:app_custom_event.fb_mobile_purchase,50.7,260702_ABO_AEO-Purchase_ios_vid_Growme_WW_0701_joy,57580,4.40257,253.5,56,4.526786,7,36.214286,5,50.7,0.52071,2.037166,0.05989305,13.529003,328,1,8908,,
2026-06-01,2026-07-06,20260701_GrowMe_EN_9x16_FX-Overthinkers_ZT-Mindset-enough_RS-P1X1R3C3_wxx,active,,,,260702_ABO_AEO-Purchase_ios_vid_Growme_WW_0701_joy,644,3.695652,2.38,,,,,,,,1.397516,0,18.478261,3,,130,,
2026-06-01,2026-07-06,20260701_growme_EN_9x16_FX-SelfGrowth_ZT-SelfImprovement_RS-P1X1R3C3_fj,active,,,,260702_ABO_AEO-Purchase_ios_vid_Growme_WW_0701_joy,345,2.927536,1.01,,,,,,,,1.73913,0,12.173913,,,45,,
2026-06-01,2026-07-06,20260701_GrowMe_EN_9x16_FX-Women_ZT-Growth-30women_RS-P1X1R3C3_wxx,active,,,,260702_ABO_AEO-Purchase_ios_vid_Growme_WW_0701_joy,2293,4.208461,9.65,1,9.65,,,,,,2.22416,0.02631579,17.575229,5,,451,,
2026-06-01,2026-07-06,20260701_growme_EN_9x16_FX-Readers_ZT-SelfImprovement_RS-P1X1R3C3_fj,inactive,,,,260702_ABO_AEO-Purchase_ios_vid_Growme_WW_0701_joy,3825,4.04183,15.46,4,3.865,,,,,,1.411765,0.12121212,15.006536,35,,617,,
2026-06-01,2026-07-06,20260701_growme_EN_9x16_FX-Women_ZT-SelfImprovement_RS-P1X1R3C3_fj,inactive,,,,260702_ABO_AEO-Purchase_ios_vid_Growme_WW_0701_joy,5301,3.218261,17.06,3,5.686667,,,,,,1.6412,0.04545455,11.7525,22,,699,,
