report_start,report_end,ad_name,广告投放,成效,成效指标,单次成效费用,account,impressions,CPM（千次展示费用） (USD),spend,installs,单次应用安装费用 (USD),subscriptions,单次订阅费用 (USD),purchases,单次购物费用 (USD),roas,ctr,custom_derived_metrics:334261784830934,hook_rate,帖子评论数,帖文互动,成效获得率,video_completions,结果（初始）,成效（初始）指标
2025-12-01,2026-07-27,20260720_GrowMe_EN_9x16_FX-Professionals_ZT-Communication-1_RS-P1X1R3C3_aitool_cty,inactive,,,,260721_ABO_AEO-Purchase_ios_vid_Growme_WW_文案1_joy,48389,0.437289,21.16,5.0,4.232,,,,,,0.803902,0.03846154,12.457377,,6325.0,,79.0,,
2025-12-01,2026-07-27,20260720_GrowMe_EN_9x16_FX-Professionals_ZT-Communication_RS-P1X1R3C3_aitool_cty,inactive,,,,260721_ABO_AEO-Purchase_ios_vid_Growme_WW_文案1_joy,10746,1.032012,11.09,11.0,1.008182,,,,,,0.837521,0.22,14.033129,,1626.0,,43.0,,
2025-12-01,2026-07-27,20260721_GrowMe_EN_9x16_FX-SelfGrowth_ZT-LifeLessons_RS-P1X1R3C3_aitool_cty,active,,,,260723_AAA_AEO-Purchase_ios_vid_Growme_US_文案_joy,5,12.0,0.06,,,,,,,,0.0,,40.0,,2.0,,,,
2025-12-01,2026-07-27,20260721_GrowMe_EN_9x16_FX-FinanceSeekers_ZT-Finance_RS-P1X1R3C3_aitool_cty,active,,,,260723_AAA_AEO-Purchase_ios_vid_Growme_US_文案_joy,1,10.0,0.01,,,,,,,,0.0,,,,,,,,
2025-12-01,2026-07-27,20260721_GrowMe_EN_9x16_FX-Professionals_ZT-Growth_RS-P1X1R3C3_aitool_cty,active,,,,260723_AAA_AEO-Purchase_ios_vid_Growme_US_文案_joy,3,13.333333,0.04,,,,,,,,0.0,,,,,,,,
2025-12-01,2026-07-27,20260721_GrowMe_EN_9x16_FX-Overthinkers_ZT-EmotionalHealth_RS-P1X1R3C3_aitool_cty,active,,,,260723_AAA_AEO-Purchase_ios_vid_Growme_US_文案_joy,1,0.0,0.0,,,,,,,,0.0,,,,,,,,
2025-12-01,2026-07-27,20260721_GrowMe_EN_9x16_FX-Readers_ZT-Discipline_RS-P1X1R3C3_aitool_cty,active,,,,260723_AAA_AEO-Purchase_ios_vid_Growme_US_文案_joy,4,5.0,0.02,,,,,,,,0.0,,50.0,,2.0,,,,
2025-12-01,2026-07-27,20260721_GrowMe_EN_9x16_FX-Women_ZT-Mindset_RS-P1X1R3C3_aitool_cty,active,,,,260723_AAA_AEO-Purchase_ios_vid_Growme_US_文案_joy,8,46.25,0.37,,,,,,,,12.5,0.0,25.0,,3.0,,,,
2025-12-01,2026-07-27,20260722_GrowMe_EN_9x16_FX-SelfGrowth_ZT-Discipline_RS-P1X1R3C3_aitool_cty,active,,,,260723_AAA_AEO-Purchase_ios_vid_Growme_US_文案_joy,3,63.333333,0.19,1.0,0.19,1.0,0.19,,,,33.333333,1.0,33.333333,,2.0,,,,
2025-12-01,2026-07-27,20260722_GrowMe_EN_9x16_FX-Overthinkers_ZT-EmotionalHealth_RS-P1X1R3C3_aitool_cty,active,,,,260723_AAA_AEO-Purchase_ios_vid_Growme_US_文案_joy,4,5.0,0.02,,,,,,,,0.0,,,,,,,,
2025-12-01,2026-07-27,20260722_GrowMe_EN_9x16_FX-SelfGrowth_ZT-SelfImprovement_RS-P1X1R3C3_aitool_cty,active,,,,260723_AAA_AEO-Purchase_ios_vid_Growme_US_文案_joy,2,10.0,0.02,,,,,,,,0.0,,,,,,,,
2025-12-01,2026-07-27,20260722_GrowMe_EN_9x16_FX-Students_ZT-LifeLessons_RS-P1X1R3C3_aitool_cty,active,,,,260723_AAA_AEO-Purchase_ios_vid_Growme_US_文案_joy,3,23.333333,0.07,,,,,,,,0.0,,33.333333,,1.0,,,,
2025-12-01,2026-07-27,20260721_GrowMe_EN_9x16_FX-EnglishLearners_ZT-Learning_RS-P1X1R3C3_aitool_cty,inactive,,,,260723_ABO_AEO-Purchase_ios_vid_Growme_WW_文案2_joy,19738,0.673321,13.29,9.0,1.476667,,,,,,0.876482,0.10344828,13.679197,,2914.0,,129.0,,
2025-12-01,2026-07-27,20260722_GrowMe_EN_9x16_FX-EnglishLearners_ZT-BookReading_RS-P1X1R3C3_aitool_cty,inactive,,,,260723_ABO_AEO-Purchase_ios_vid_Growme_WW_文案2_joy,9359,0.743669,6.96,2.0,3.48,,,,,,0.897532,0.06060606,16.326531,,1638.0,,48.0,,
