report_start,report_end,ad_name,广告投放,成效,成效指标,单次成效费用,account,impressions,CPM（千次展示费用） (USD),spend,installs,单次应用安装费用 (USD),subscriptions,单次订阅费用 (USD),purchases,单次购物费用 (USD),roas,ctr,custom_derived_metrics:334261784830934,hook_rate,帖子评论数,帖文互动,成效获得率,video_completions,结果（初始）,成效（初始）指标
2025-12-01,2026-07-28,20260525_GrowMe_EN_9x16_FX-test_ZT-timedont_RS-P3X1R1C3_fj,not_delivering,,,,260526_AAA_AEO-Purchase_ios_vid_Growme_WW_0525_joy,1021,1.939275,1.98,1.0,1.98,,,,,,1.273262,0.25,19.490695,,212.0,,11.0,,
2025-12-01,2026-07-28,20260525_GrowMe_EN_9x16_FX-test_ZT-talkabout_RS-P3X1R1C3_fj,not_delivering,,,,260526_AAA_AEO-Purchase_ios_vid_Growme_WW_0525_joy,3331,2.005404,6.68,4.0,1.67,,,,,,1.921345,0.17391304,21.525068,,790.0,,56.0,,
2025-12-01,2026-07-28,20260525_GrowMe_EN_9x16_FX-test_ZT-learning_RS-P3X1R1C3_fj,not_delivering,,,,260526_AAA_AEO-Purchase_ios_vid_Growme_WW_0525_joy,198,3.939394,0.78,,,,,,,,0.505051,0.0,27.777778,,59.0,,7.0,,
2025-12-01,2026-07-28,20260525_GrowMe_EN_9x16_FX-test_ZT-news_RS-P3X1R1C3_fj,not_delivering,,,,260526_AAA_AEO-Purchase_ios_vid_Growme_WW_0525_joy,1355,2.317343,3.14,,,,,,,,0.885609,0.0,15.276753,,214.0,,3.0,,
2025-12-01,2026-07-28,20260525_GrowMe_EN_9x16_FX-test_ZT-confidence_RS-P3X1R1C3_fj,not_delivering,,,,260526_AAA_AEO-Purchase_ios_vid_Growme_WW_0525_joy,178,3.314607,0.59,,,,,,,,1.123596,,26.966292,,49.0,,2.0,,
2025-12-01,2026-07-28,20260525_GrowMe_EN_9x16_FX-test_ZT-hello-ai_RS-P3X1R1C3_fj,not_delivering,,,,260526_AAA_AEO-Purchase_ios_vid_Growme_WW_0525_joy,2000,1.45,2.9,1.0,2.9,,,,,,1.5,0.125,22.7,,486.0,,24.0,,
2025-12-01,2026-07-28,20260525_growme_EN_9x16_FX-test_ZT-confidence_RS-P1X1R3C1_gy,not_delivering,,,,260526_AAA_AEO-Purchase_ios_vid_Growme_WW_0525_joy,4813,2.399751,11.55,3.0,3.85,,,,,,1.475171,0.1,24.059838,,1249.0,,31.0,,
2025-12-01,2026-07-28,20260525_growme_EN_9x16_FX-test_ZT-read_RS-P1X1R3C1_gy,inactive,,,,260526_AAA_AEO-Purchase_ios_vid_Growme_WW_0525_joy,5446,3.362101,18.31,10.0,1.831,,,,,,1.248623,0.4,17.664341,,1047.0,,37.0,,
2025-12-01,2026-07-28,20260525_growme_EN_9x16_FX-test_ZT-zixin_RS-P1X1R3C1_gy,not_delivering,,,,260526_AAA_AEO-Purchase_ios_vid_Growme_WW_0525_joy,197,4.923858,0.97,2.0,0.485,,,,,,4.568528,0.5,16.751269,,41.0,,4.0,,
2025-12-01,2026-07-28,20260525_growme_EN_9x16_FX-test_ZT-education_RS-P1X1R3C1_gy,not_delivering,,,,260526_AAA_AEO-Purchase_ios_vid_Growme_WW_0525_joy,674,1.780415,1.2,,,,,,,,2.225519,0.0,22.403561,,166.0,,7.0,,
2025-12-01,2026-07-28,20260525_growme_EN_9x16_FX-test_ZT-opinion_RS-P1X1R3C1_gy,not_delivering,,,,260526_AAA_AEO-Purchase_ios_vid_Growme_WW_0525_joy,1782,2.295174,4.09,6.0,0.681667,,,,,,1.515152,0.5,18.742985,,363.0,,9.0,,
2025-12-01,2026-07-28,20260525_growme_EN_9x16_FX-test_ZT-love_RS-P1X1R3C1_gy,inactive,,,,260526_AAA_AEO-Purchase_ios_vid_Growme_WW_0525_joy,51617,1.837767,94.86,66.0,1.437273,,,,,,1.348393,0.23487544,17.027336,1.0,9638.0,,514.0,,
