report_start,report_end,ad_name,广告投放,成效,成效指标,单次成效费用,account,impressions,CPM（千次展示费用） (USD),spend,installs,单次应用安装费用 (USD),subscriptions,单次订阅费用 (USD),purchases,单次购物费用 (USD),roas,ctr,custom_derived_metrics:334261784830934,基于展示次数的 3 秒视频播放率,帖子评论数,帖文互动,成效获得率,video_completions,结果（初始）,成效（初始）指标
2025-12-01,2026-08-26,20260727_GrowMe_EN_9x16_FX-Women_ZT-WomenEmpowerment_RS-P1X1R3C3_aitool_cty,not_delivering,,,,260729_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0727/0728_joy,252,3.412698,0.86,,,,,,,,0.396825,0.0,17.460317,,47.0,,3.0,,
2025-12-01,2026-08-26,20260727_GrowMe_EN_9x16_FX-Readers_ZT-BookReading_RS-P1X1R3C3_aitool_cty,inactive,,,,260729_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0727/0728_joy,6691,2.764908,18.5,,,,,,,,0.762218,0.0,14.108504,,1029.0,,47.0,,
2025-12-01,2026-08-26,20260727_GrowMe_EN_9x16_FX-SelfGrowth_ZT-Growth_RS-P1X1R3C3_aitool_cty,not_delivering,,,,260729_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0727/0728_joy,37,5.135135,0.19,,,,,,,,0.0,,24.324324,,10.0,,,,
2025-12-01,2026-08-26,20260727_GrowMe_EN_9x16_FX-Men_ZT-SelfImprovement_RS-P1X1R1_aitool_cty,not_delivering,,,,260729_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0727/0728_joy,139,2.374101,0.33,,,,,,,,0.0,,12.94964,,19.0,,2.0,,
2025-12-01,2026-08-26,20260727_GrowMe_EN_9x16_FX-Overthinkers_ZT-EmotionalHealth_RS-P1X1R1_aitool_cty,not_delivering,,,,260729_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0727/0728_joy,1101,2.906449,3.2,2.0,1.6,,,,,,0.908265,0.28571429,15.894641,,188.0,,12.0,,
2025-12-01,2026-08-26,20260727_GrowMe_EN_9x16_FX-Students_ZT-Learning_RS-P1X1R1_aitool_cty,inactive,,,,260729_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0727/0728_joy,12372,2.534756,31.36,4.0,7.84,,,,,,0.460718,0.09302326,13.676043,,1822.0,,131.0,,
2025-12-01,2026-08-26,20260727_GrowMe_EN_9x16_FX-Students_ZT-Reading_RS-P1X1R2_aitool_cty,not_delivering,,,,260729_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0727/0728_joy,1201,2.139883,2.57,,,,,,,,0.582848,0.0,15.40383,,201.0,,15.0,,
2025-12-01,2026-08-26,20260727_GrowMe_EN_9x16_FX-SelfGrowth_ZT-Discipline_RS-P1X1R1_aitool_cty,not_delivering,,,,260729_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0727/0728_joy,56,6.25,0.35,,,,,,,,0.0,,21.428571,,12.0,,,,
2025-12-01,2026-08-26,20260727_GrowMe_EN_9x16_FX-Professionals_ZT-SocialSkills_RS-P1X1R3_aitool_cty,inactive,,,,260729_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0727/0728_joy,11761,2.203894,25.92,3.0,8.64,,,,,,0.450642,0.13043478,14.029419,,1737.0,,110.0,,
2025-12-01,2026-08-26,20260727_GrowMe_EN_9x16_FX-Professionals_ZT-Habits_RS-P1X1R2_aitool_cty,not_delivering,,,,260729_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0727/0728_joy,124,4.193548,0.52,,,,,,,,0.806452,0.0,25.0,,32.0,,2.0,,
