report_start,report_end,ad_name,广告投放,成效,成效指标,单次成效费用,account,impressions,spend,ctr,custom_derived_metrics:334261784830934,installs,单次应用安装费用 (USD),subscriptions,单次订阅费用 (USD),purchases,单次购物费用 (USD),roas,基于展示次数的 3 秒视频播放率,video_completions,视频平均播放时长,结果（初始）,成效（初始）指标
2025-12-01,2026-08-31,20260629_growme_EN_9x16_FX-SelfGrowth_ZT-Challenge-fivemins_RS-P1X1R3C3_wxx,inactive,,,,260630_ABO_AEO-Purchase_ios_vid_Growme_WW_0629_joy,11189,30.43,1.403164,0.10784314,11.0,2.766364,,,,,,13.772455,61.0,6,,
2025-12-01,2026-08-31,20260629_growme_EN_9x16_FX-Overthinkers_ZT-LifeLessons-consistency_RS-P1X1R3C3_wxx,inactive,1.0,actions:app_custom_event.fb_mobile_purchase,105.13,260630_ABO_AEO-Purchase_ios_vid_Growme_WW_0629_joy,44108,105.13,1.632357,0.0587156,32.0,3.285313,1.0,105.13,1.0,105.13,0.26881,15.502857,546.0,8,,
2025-12-01,2026-08-31,20260629_growme_EN_9x16_FX-SelfGrowth_ZT-Habits-change_RS-P1X1R3C3_wxx,inactive,4.0,actions:app_custom_event.fb_mobile_purchase,40.7175,260630_ABO_AEO-Purchase_ios_vid_Growme_WW_0629_joy,42597,162.87,1.671479,0.0634058,35.0,4.653429,5.0,32.574,4.0,40.7175,0.32308,14.632486,254.0,6,,
2025-12-01,2026-08-31,20260629_growme_EN_9x16_FX-Overthinkers_ZT-LifeLessons-thelast_RS-P1X1R3C3_wxx,not_delivering,,,,260630_ABO_AEO-Purchase_ios_vid_Growme_WW_0629_joy,58,0.15,0.0,,,,,,,,,20.689655,2.0,12,,
2025-12-01,2026-08-31,20260629_growme_EN_9x16_FX-EnglishLearners_ZT-learning-speak_RS-P1X1R3C3_wxx,inactive,,,,260630_ABO_AEO-Purchase_ios_vid_Growme_WW_0629_joy,9179,22.75,1.296438,0.24,18.0,1.263889,,,,,,16.755638,110.0,7,,
2025-12-01,2026-08-31,20260629_GrowMe_EN_9x16_FX-Learning_ZT-EnglishLearners-speak_LV1-Player_RS-P3X1R1C3_fj,inactive,,,,260630_ABO_AEO-Purchase_ios_vid_Growme_WW_0629_joy,2884,17.75,4.61165,0.05925926,8.0,2.21875,,,,,,26.178918,106.0,7,,
2025-12-01,2026-08-31,20260629_growme_EN_9x16_FX-Women_ZT-SelfImprovement-women_RS-P1X1R3C3_fj,inactive,8.0,actions:app_custom_event.fb_mobile_purchase,39.41875,260630_ABO_AEO-Purchase_ios_vid_Growme_WW_0629_joy,121075,315.35,0.858972,0.1965812,115.0,2.742174,10.0,31.535,8.0,39.41875,0.545775,14.412554,1214.0,8,,
2025-12-01,2026-08-31,20260629_growme_EN_9x16_FX-SelfGrowth_ZT-Successful- changelife_RS-P1X1R3C3_fj,inactive,,,,260630_ABO_AEO-Purchase_ios_vid_Growme_WW_0629_joy,16617,73.23,2.00999,0.07916667,19.0,3.854211,,,,,,16.001685,248.0,11,,
2025-12-01,2026-08-31,20260629_growme_EN_9x16_FX-SelfGrowth_ZT-LifeLessons- Dream_RS-P1X1R3C3_fj,not_delivering,,,,260630_ABO_AEO-Purchase_ios_vid_Growme_WW_0629_joy,60,0.16,0.0,,,,,,,,,20.0,,10,,
2025-12-01,2026-08-31,20260629_growme_EN_9x16_FX-EnglishLearners_ZT-Learning-everyday_RS-P1X1R3C3_fj,inactive,,,,260630_ABO_AEO-Purchase_ios_vid_Growme_WW_0629_joy,6746,18.02,1.556478,0.12328767,9.0,2.002222,,,,,,17.402905,71.0,7,,
2025-12-01,2026-08-31,20260629_GrowMe_EN_0_9x16_FX-EnglishLearners_ZT-Learning-translate_RS-P3X1R1C3_gy,inactive,,,,260630_ABO_AEO-Purchase_ios_vid_Growme_WW_0629_joy,10159,28.89,1.88995,0.03472222,5.0,5.778,,,,,,13.780884,111.0,6,,
2025-12-01,2026-08-31,20260629_GrowMe_EN_0_9x16_FX-Women_ZT-Communication-think_RS-P3X1R1C3_gy,inactive,,,,260630_ABO_AEO-Purchase_ios_vid_Growme_WW_0629_joy,3013,15.66,1.958181,0.0,,,,,,,,28.310654,41.0,7,,
