报告开始日期,报告结束日期,广告名称,广告投放,成效,成效指标,单次成效费用,广告组名称,展示次数,"CPM（千次展示费用） (USD)","已花费金额 (USD)",应用安装量,"单次应用安装费用 (USD)",订阅次数,"单次订阅费用 (USD)",购物次数,"单次购物费用 (USD)","广告花费回报 (ROAS) - 购物",点击率（全部）,custom_derived_metrics:334261784830934,"单次展示的播放视频达 3 秒率",帖子评论数,帖文互动,成效获得率,"视频播放进度达 100% 的次数",结果（初始）,成效（初始）指标
2026-07-01,2026-07-13,20260708_GrowMe_EN_9x16_FX-FinanceSeekers_ZT-Learning_RS-P1X1R3C3_aitool_czy,inactive,,,,260710_ABO_AEO-Purchase_ios_vid_Growme_WW_0707/0708/0709_文案老形式_joy,11632,2.503439,29.12,21,1.386667,,,,,,1.057428,0.26923077,12.30227,,1552,,46,,
2026-07-01,2026-07-13,20260707_GrowMe_EN_9x16_FX-Students_ZT-Learning-1_RS-P1X1R3C3_aitool_czy,active,,,,260710_ABO_AEO-Purchase_ios_vid_Growme_WW_0707/0708/0709_文案老形式_joy,760,1.881579,1.43,,,,,,,,0.526316,0,18.421053,,151,,7,,
2026-07-01,2026-07-13,20260707_GrowMe_EN_9x16_FX-Readers_ZT-BookReading_RS-P1X1R3C3_aitool_czy,active,,,,260710_ABO_AEO-Purchase_ios_vid_Growme_WW_0707/0708/0709_文案老形式_joy,104,2.115385,0.22,,,,,,,,0,,16.346154,,19,,1,,
2026-07-01,2026-07-13,20260707_GrowMe_EN_9x16_FX-SelfGrowth_ZT-Focus-1_RS-P1X1R3C3_aitool_czy,active,,,,260710_ABO_AEO-Purchase_ios_vid_Growme_WW_0707/0708/0709_文案老形式_joy,2216,2.265343,5.02,,,,,,,,0.99278,0,15.884477,,373,,11,,
2026-07-01,2026-07-13,20260707_GrowMe_EN_9x16_FX-Women_ZT-EmotionalHealth-1_RS-P1X1R3C3_aitool_czy,active,,,,260710_ABO_AEO-Purchase_ios_vid_Growme_WW_0707/0708/0709_文案老形式_joy,165,2.606061,0.43,,,,,,,,0.606061,,18.787879,,33,,1,,
2026-07-01,2026-07-13,20260707_GrowMe_EN_9x16_FX-SelfGrowth_ZT-Discipline_RS-P1X1R3C3_aitool_czy,active,,,,260710_ABO_AEO-Purchase_ios_vid_Growme_WW_0707/0708/0709_文案老形式_joy,5318,2.578037,13.71,2,6.855,,,,,,1.523129,0.02985075,15.400527,,903,,14,,
2026-07-01,2026-07-13,20260708_GrowMe_EN_9x16_FX-EnglishLearners_ZT-Communication_RS-P1X1R3C3_aitool_czy,inactive,,,,260710_ABO_AEO-Purchase_ios_vid_Growme_WW_0707/0708/0709_文案老形式_joy,10285,2.657268,27.33,11,2.484545,,,,,,1.448712,0.10280374,17.209528,,1957,,76,,
2026-07-01,2026-07-13,20260709_growme_EN_9x16_FX-EnglishLearners_ZT-Learning_RS-P1X1R1C1_ZH_095KB_RMG-6283A,active,,,,260710_ABO_AEO-Purchase_ios_vid_Growme_WW_0707/0708/0709_文案老形式_joy,16886,1.337795,22.59,9,2.51,,,,,,0.532986,0.18,12.158001,,2162,,534,,
2026-07-01,2026-07-13,20260709_growme_EN_9x16_FX-SelfGrowth_ZT-Lifelessons-confidence__RS-P1X1R3C1_gy,active,,,,260710_ABO_AEO-Purchase_ios_vid_Growme_WW_0707/0708/0709_文案老形式_joy,128,2.109375,0.27,,,,,,,,0.78125,,13.28125,,20,,1,,
2026-07-01,2026-07-13,20260707_GrowMe_EN_9x16_FX-Overthinkers_ZT-EmotionalHealth_RS-P1X1R3C3_aitool_czy,active,,,,260710_ABO_AEO-Purchase_ios_vid_Growme_WW_0707/0708/0709_文案老形式_joy,4282,1.496964,6.41,,,,,,,,0.6539,0,13.778608,,632,,19,,
