报告开始日期,报告结束日期,广告名称,广告投放,归因设置,成效,成效指标,单次成效费用,广告组预算,广告组预算类型,"已花费金额 (USD)",展示次数,覆盖人数,广告组名称,订阅次数,"单次订阅费用 (USD)",应用安装量,"单次应用安装费用 (USD)"
2026-07-11,2026-08-10,20260806_GrowMe_EN_9x16_01_FX-SelfGrowth_ZT-Growth-pic5_RS-P1X1R3C3_wxx,active,"点击后 1 天内",,,,100,单日预算,8.28,760,706,260807_AAA_AEO-Purchase_ios_pic_Growme_T1_高价值图片_joy,,,1,8.28
2026-07-11,2026-08-10,"20260806_GrowMe_EN_4x5_FX-SelfGrowth _ZT- Learning-pic4_RS-P3X1R1C3_fj",inactive,"点击后 1 天内",,,,100,单日预算,29.56,3915,3783,260807_AAA_AEO-Purchase_ios_pic_Growme_T1_高价值图片_joy,,,1,29.56
2026-07-11,2026-08-10,20260806_growme_EN_4x5_FX-Women_ZT-Growth-pic6_RS-P1X1R3C3_gy.jpg,active,"点击后 1 天内",,,,100,单日预算,5.15,439,423,260807_AAA_AEO-Purchase_ios_pic_Growme_T1_高价值图片_joy,,,,
2026-07-11,2026-08-10,20260806_growme_EN_9x16_FX-Professionals_ZT-Growth2_LVL1-plot_RS-P1X1R1C3_wxx,inactive,"点击后 1 天内",,,,100,单日预算,63.35,3330,2897,260806_AAA_AEO-Purchase_ios_vid_Growme_T1_new3_joy,,,2,31.675
2026-07-11,2026-08-10,20260806_growme_EN_4x5_FX-Women_ZT-Growth-pic7_RS-P1X1R3C3_gy.jpg,active,"点击后 1 天内",,,,100,单日预算,0.17,13,13,260807_AAA_AEO-Purchase_ios_pic_Growme_T1_高价值图片_joy,,,,
2026-07-11,2026-08-10,20260806_growme_EN_9x16_FX-Readers_ZT-learning-pic7-1_RS-P1X1R3C3_gy,active,"点击后 1 天内",,,,100,单日预算,5.42,365,324,260807_AAA_AEO-Purchase_ios_pic_Growme_T1_高价值图片_joy,,,,
2026-07-11,2026-08-10,"20260806_GrowMe_EN_9x16_FX-SelfGrowth _ZT- Learning-pic9_RS-P3X1R1C3_fj.png",active,"点击后 1 天内",,,,100,单日预算,0.26,32,29,260807_AAA_AEO-Purchase_ios_pic_Growme_T1_高价值图片_joy,,,,
2026-07-11,2026-08-10,"20260806_GrowMe_EN_9x16_FX-SelfGrowth _ZT- Learning-pic6_RS-P3X1R1C3_fj.png",active,"点击后 1 天内",,,,100,单日预算,0.21,35,34,260807_AAA_AEO-Purchase_ios_pic_Growme_T1_高价值图片_joy,,,,
2026-07-11,2026-08-10,"20260806_GrowMe_EN_9x16_FX-SelfGrowth _ZT- Learning-pic5_RS-P3X1R1C3_fj",active,"点击后 1 天内",,,,100,单日预算,3.27,384,378,260807_AAA_AEO-Purchase_ios_pic_Growme_T1_高价值图片_joy,,,,
2026-07-11,2026-08-10,"20260806_GrowMe_EN_4x5_FX-SelfGrowth _ZT- Learning-pic3_RS-P3X1R1C3_fj",active,"点击后 1 天内",,,,100,单日预算,3.53,644,638,260807_AAA_AEO-Purchase_ios_pic_Growme_T1_高价值图片_joy,,,,
2026-07-11,2026-08-10,20260806_GrowMe_EN_9x16_01_FX-women_ZT-Growth-pic4_RS-P1X1R3C3_wxx,active,"点击后 1 天内",,,,100,单日预算,0.07,20,20,260807_AAA_AEO-Purchase_ios_pic_Growme_T1_高价值图片_joy,,,,
2026-07-11,2026-08-10,20260806_growme_EN_4x5_FX-Selfgrowth_ZT-Growth-pic4_RS-P1X1R3C3_gy.jpg,active,"点击后 1 天内",,,,100,单日预算,10.58,1599,1505,260807_AAA_AEO-Purchase_ios_pic_Growme_T1_高价值图片_joy,,,,
2026-07-11,2026-08-10,20260806_GrowMe_EN_9x16_01_FX-women_ZT-Growth-pic3_RS-P1X1R3C3_wxx,inactive,"点击后 1 天内",,,,100,单日预算,37.89,4619,4310,260807_AAA_AEO-Purchase_ios_pic_Growme_T1_高价值图片_joy,,,4,9.4725
2026-07-11,2026-08-10,20260806_GrowMe_EN_9x16_01_FX-SelfGrowth_ZT-Learning-pic2_RS-P1X1R3C3_wxx,active,"点击后 1 天内",,,,100,单日预算,29.22,2965,2419,260807_AAA_AEO-Purchase_ios_pic_Growme_T1_高价值图片_joy,,,4,7.305
2026-07-11,2026-08-10,"20260806_GrowMe_EN_4x5_FX-Women _ZT- SelfGrowth-pic2_RS-P3X1R1C3_fj",active,"点击后 1 天内",,,,100,单日预算,0.07,9,9,260807_AAA_AEO-Purchase_ios_pic_Growme_T1_高价值图片_joy,,,,
2026-07-11,2026-08-10,20260805_GrowMe_EN_9x16_FX-SelfGrowth_ZT-SelfImprovement-dzb_RS-P3X1R1C3_fj,active,"点击后 1 天内",,,,150,单日预算,0.17,29,26,260806_AAA_AEO-Purchase_ios_vid_Growme_T1_0806highvalue_joy,,,,
2026-07-11,2026-08-10,20260805_GrowMe_EN_9x16_01_FX-SelfGrowth_ZT-Growth-youtube_RS-P1X1R1C1_wxx,active,"点击后 1 天内",,,,150,单日预算,0.03,23,22,260806_AAA_AEO-Purchase_ios_vid_Growme_T1_0806highvalue_joy,,,,
2026-07-11,2026-08-10,20260805_GrowMe_EN_9x16_01_FX-SelfGrowth_ZT-Growth-youtube2_RS-P1X1R1C1_wxx,active,"点击后 1 天内",,,,150,单日预算,0.04,9,8,260806_AAA_AEO-Purchase_ios_vid_Growme_T1_0806highvalue_joy,,,,
2026-07-11,2026-08-10,20260805_growme_EN_9x16_FX-Readers_ZT-BookReading-paint_RS-P1X1R3C3_gy,active,"点击后 1 天内",,,,150,单日预算,0.9,84,75,260806_AAA_AEO-Purchase_ios_vid_Growme_T1_0806highvalue_joy,,,,
2026-07-11,2026-08-10,20260805_growme_EN_9x16_FX-Readers_ZT-Growth-speak_RS-P1X1R3C3_gy,active,"点击后 1 天内",,,,150,单日预算,3.4,196,189,260806_AAA_AEO-Purchase_ios_vid_Growme_T1_0806highvalue_joy,,,,
