report_start,report_end,ad_name,广告投放,成效,成效指标,单次成效费用,account,impressions,spend,ctr,custom_derived_metrics:334261784830934,installs,单次应用安装费用 (USD),subscriptions,单次订阅费用 (USD),purchases,单次购物费用 (USD),roas,基于展示次数的 3 秒视频播放率,video_completions,视频平均播放时长,结果（初始）,成效（初始）指标
2025-12-01,2026-08-31,20260706_GrowMe_EN_9x16_FX-SelfGrowth_ZT-SocialSkills_RS-P1X1R3C3_czy,inactive,,,,growmme_WW_260706_1_purchase_7.6-test_sie,7981,16.06,0.801905,0.65517241,19.0,0.845263,,,,,,19.070292,12.0,8,,
2025-12-01,2026-08-31,20260706_GrowMe_EN_9x16_FX-Readers_ZT-BookReading_RS-P1X1R3C3_czy,inactive,,,,growmme_WW_260706_1_purchase_7.6-test_sie,10139,15.15,1.923267,0.0397351,6.0,2.525,,,,,,18.887464,47.0,12,,
2025-12-01,2026-08-31,20260706_GrowMe_EN_9x16_FX-SelfGrowth_ZT-Action_RS-P1X1R3C3_czy,inactive,,,,growmme_WW_260706_1_purchase_7.6-test_sie,10208,14.64,3.036834,0.05128205,12.0,1.22,,,,,,22.217868,20.0,16,,
2025-12-01,2026-08-31,20260706_GrowMe_EN_9x16_FX-Readers_ZT-BookReading-1_RS-P1X1R3C3_czy,inactive,,,,growmme_WW_260706_1_purchase_7.6-test_sie,10200,16.9,1.980392,0.07913669,11.0,1.536364,,,,,,22.598039,32.0,13,,
2025-12-01,2026-08-31,20260706_GrowMe_EN_9x16_FX-Introverts_ZT-Mindset_RS-P1X1R3C3_czy,inactive,22.0,actions:app_custom_event.fb_mobile_purchase,34.66909091,growmme_WW_260706_1_purchase_7.6-test_sie,500657,762.72,1.998374,0.06098643,481.0,1.585696,35.0,21.792,22.0,34.669091,0.562946,16.743,2082.0,10,,
2025-12-01,2026-08-31,20260706_GrowMe_EN_9x16_FX-EnglishLearners_ZT-Learning_RS-P1X1R3C3_czy,inactive,1.0,actions:app_custom_event.fb_mobile_purchase,39.53,growmme_WW_260706_1_purchase_7.6-test_sie,25864,39.53,2.002784,0.17263844,53.0,0.745849,1.0,39.53,1.0,39.53,0.35062,21.203217,50.0,11,,
2025-12-01,2026-08-31,20260706_GrowMe_EN_9x16_FX-Professionals_ZT-SocialSkills_RS-P1X1R3C3_czy,inactive,,,,growmme_WW_260706_1_purchase_7.6-test_sie,10295,12.95,0.757649,0.25,7.0,1.85,2.0,6.475,,,,19.951433,28.0,11,,
2025-12-01,2026-08-31,20260706_GrowMe_EN_9x16_FX-Overthinkers_ZT-Mindset_RS-P1X1R3C3_czy,inactive,,,,growmme_WW_260706_1_purchase_7.6-test_sie,10844,14.52,1.669126,0.23,23.0,0.631304,,,,,,21.597197,33.0,12,,
2025-12-01,2026-08-31,20260706_GrowMe_EN_9x16_FX-Students_ZT-Learning-1_RS-P1X1R3C3_czy,inactive,,,,growmme_WW_260706_1_purchase_7.6-test_sie,10552,14.65,2.340788,0.10526316,20.0,0.7325,,,,,,18.678923,47.0,12,,
2025-12-01,2026-08-31,20260706_GrowMe_EN_9x16_FX-Students_ZT-Learning_RS-P1X1R3C3_czy,inactive,,,,growmme_WW_260706_1_purchase_7.6-test_sie,10840,21.58,1.817343,0.49494949,49.0,0.440408,,,,,,22.509225,85.0,12,,
2025-12-01,2026-08-31,20260706_GrowMe_EN_9x16_FX-Men_ZT-SelfImprovement_RS-P1X1R3C3_czy,inactive,,,,growmme_WW_260706_1_purchase_7.6-test_sie,11100,18.36,1.801802,0.1,13.0,1.412308,,,,,,20.297297,48.0,11,,
2025-12-01,2026-08-31,20260706_GrowMe_EN_9x16_FX-Professionals_ZT-Finance_RS-P1X1R3C3_czy,inactive,,,,growmme_WW_260706_1_purchase_7.6-test_sie,11518,17.72,2.665393,0.07251908,19.0,0.932632,,,,,,18.01528,65.0,13,,
2025-12-01,2026-08-31,20260706_GrowMe_EN_9x16_FX-Readers_ZT-Habits_RS-P1X1R3C3_czy,inactive,,,,growmme_WW_260706_1_purchase_7.6-test_sie,10371,14.87,1.562048,0.24752475,25.0,0.5948,,,,,,21.184071,27.0,14,,
2025-12-01,2026-08-31,20260706_GrowMe_EN_9x16_FX-Professionals_ZT-SelfImprovement_RS-P1X1R3C3_czy,inactive,,,,growmme_WW_260706_1_purchase_7.6-test_sie,5957,10.99,1.561189,0.04081633,2.0,5.495,,,,,,21.302669,61.0,12,,
2025-12-01,2026-08-31,20260706_GrowMe_EN_9x16_FX-Professionals_ZT-Growth_RS-P1X1R3C3_czy,inactive,,,,growmme_WW_260706_1_purchase_7.6-test_sie,11087,19.23,1.758817,0.14782609,17.0,1.131176,,,,,,22.134031,45.0,13,,
2025-12-01,2026-08-31,20260706_GrowMe_EN_9x16_FX-SelfGrowth_ZT-Habits_RS-P1X1R3C3_czy,not_delivering,2.0,actions:app_custom_event.fb_mobile_purchase,35.795,growmme_WW_260706_1_purchase_7.6-test_sie,65904,71.59,1.647851,0.04872107,40.0,1.78975,6.0,11.931667,2.0,35.795,0.506914,19.504127,337.0,13,,
2025-12-01,2026-08-31,20260706_GrowMe_EN_9x16_FX-SelfGrowth_ZT-EmotionalHealth_RS-P1X1R3C3_czy,inactive,,,,growmme_WW_260706_1_purchase_7.6-test_sie,6150,11.03,2.081301,0.04651163,4.0,2.7575,,,,,,20.357724,26.0,12,,
2025-12-01,2026-08-31,20260706_GrowMe_EN_9x16_FX-Students_ZT-Learning-2_RS-P1X1R3C3_czy,inactive,,,,growmme_WW_260706_1_purchase_7.6-test_sie,10180,14.35,1.286837,0.25,17.0,0.844118,1.0,14.35,,,,22.760314,60.0,14,,
2025-12-01,2026-08-31,20260706_GrowMe_EN_9x16_FX-Professionals_ZT-Growth-1_RS-P1X1R3C3_czy,not_delivering,26.0,actions:app_custom_event.fb_mobile_purchase,29.80884615,growmme_WW_260706_1_purchase_7.6-test_sie,605024,775.03,1.260942,0.28149488,1401.0,0.553198,51.0,15.196667,26.0,29.808846,0.742113,19.115275,2314.0,10,,
2025-12-01,2026-08-31,20260706_GrowMe_EN_9x16_FX-SelfGrowth_ZT-Mindset_RS-P1X1R3C3_czy,inactive,,,,growmme_WW_260706_1_purchase_7.6-test_sie,7765,17.05,3.000644,0.09090909,17.0,1.002941,,,,,,20.141661,47.0,14,,
2025-12-01,2026-08-31,20260706_GrowMe_EN_9x16_FX-EnglishLearners_ZT-Learning-water_RS-P3X1R1C3_fj,inactive,,,,growmme_WW_260706_1_purchase_7.6-test_sie,10815,30.67,1.192788,0.20338983,12.0,2.555833,,,,,,16.745261,94.0,3,,
2025-12-01,2026-08-31,20260706_GrowMe_EN_9x16_FX-Professionals_ZT-SelfImprovement-responsibility_RS-P3X1R1C3_fj,not_delivering,,,,growmme_WW_260706_1_purchase_7.6-test_sie,74,0.1,0.0,,,,,,,,,20.27027,,3,,
2025-12-01,2026-08-31,20260706_GrowMe_EN_9x16_FX-EnglishLearners_ZT-Learning-BackonTrack_RS-P3X1R1C3_fj,inactive,2.0,actions:app_custom_event.fb_mobile_purchase,56.56,growmme_WW_260706_1_purchase_7.6-test_sie,50221,113.12,0.959758,0.24556213,83.0,1.362892,4.0,28.28,2.0,56.56,0.48117,10.149141,218.0,2,,
2025-12-01,2026-08-31,20260706_GrowMe_EN_9x16_FX-Women_ZT-healing-ToxicParents_RS-P1X1R3C3_wxx,not_delivering,,,,growmme_WW_260706_1_purchase_7.6-test_sie,2707,7.3,1.477651,0.03030303,1.0,7.3,,,,,,24.344293,14.0,3,,
2025-12-01,2026-08-31,20260706_GrowMe_EN_9x16_FX-SelfGrowth_ZT-aitalk-miscrolearn_RS-P1X1R3C3_wxx,inactive,,,,growmme_WW_260706_1_purchase_7.6-test_sie,10074,18.97,1.131626,0.45454545,40.0,0.47425,,,,,,14.512607,140.0,2,,
2025-12-01,2026-08-31,20260706_GrowMe_EN_9x16_FX-SelfGrowth_ZT-aitalk-365_RS-P1X1R3C3_wxx,inactive,,,,growmme_WW_260706_1_purchase_7.6-test_sie,13476,26.6,0.378451,0.34285714,12.0,2.216667,,,,,,15.761354,122.0,2,,
2025-12-01,2026-08-31,20260706_GrowMe_EN_9x16_FX-SelfGrowth_ZT-SocialSkills_RS-P1X1R3C3_czy,not_delivering,,,,260707_ABO_AEO-Purchase_ios_vid_Growme_WW_0706_文案老形式_joy,1044,3.26,1.05364,0.0,,,,,,,,20.114943,3.0,12,,
2025-12-01,2026-08-31,20260706_GrowMe_EN_9x16_FX-Readers_ZT-BookReading_RS-P1X1R3C3_czy,inactive,,,,260707_ABO_AEO-Purchase_ios_vid_Growme_WW_0706_文案老形式_joy,11869,13.61,0.893083,0.18032787,11.0,1.237273,2.0,6.805,,,,13.126632,28.0,8,,
2025-12-01,2026-08-31,20260706_GrowMe_EN_9x16_FX-SelfGrowth_ZT-Action_RS-P1X1R3C3_czy,inactive,2.0,actions:app_custom_event.fb_mobile_purchase,50.81,260707_ABO_AEO-Purchase_ios_vid_Growme_WW_0706_文案老形式_joy,40087,101.62,1.723751,0.10536779,53.0,1.917358,2.0,50.81,2.0,50.81,0.358492,17.017986,77.0,11,,
2025-12-01,2026-08-31,20260706_GrowMe_EN_9x16_FX-Readers_ZT-BookReading-1_RS-P1X1R3C3_czy,not_delivering,,,,260707_ABO_AEO-Purchase_ios_vid_Growme_WW_0706_文案老形式_joy,773,2.68,2.587322,0.0625,1.0,2.68,,,,,,19.534282,5.0,12,,
2025-12-01,2026-08-31,20260706_GrowMe_EN_9x16_FX-Introverts_ZT-Mindset_RS-P1X1R3C3_czy,inactive,5.0,actions:app_custom_event.fb_mobile_purchase,46.66,260707_ABO_AEO-Purchase_ios_vid_Growme_WW_0706_文案老形式_joy,61313,233.3,2.048505,0.06628788,70.0,3.332857,4.0,58.325,5.0,46.66,0.399529,14.452074,364.0,9,,
2025-12-01,2026-08-31,20260706_GrowMe_EN_9x16_FX-EnglishLearners_ZT-Learning_RS-P1X1R3C3_czy,inactive,,,,260707_ABO_AEO-Purchase_ios_vid_Growme_WW_0706_文案老形式_joy,12833,42.6,1.651991,0.16666667,26.0,1.638462,,,,,,13.488662,28.0,8,,
2025-12-01,2026-08-31,20260706_GrowMe_EN_9x16_FX-Professionals_ZT-SocialSkills_RS-P1X1R3C3_czy,not_delivering,,,,260707_ABO_AEO-Purchase_ios_vid_Growme_WW_0706_文案老形式_joy,713,1.33,1.12202,0.0,,,,,,,,20.196353,1.0,13,,
2025-12-01,2026-08-31,20260706_GrowMe_EN_9x16_FX-Overthinkers_ZT-Mindset_RS-P1X1R3C3_czy,inactive,,,,260707_ABO_AEO-Purchase_ios_vid_Growme_WW_0706_文案老形式_joy,11082,26.72,1.443783,0.16455696,13.0,2.055385,,,,,,18.678939,35.0,11,,
2025-12-01,2026-08-31,20260706_GrowMe_EN_9x16_FX-Students_ZT-Learning-1_RS-P1X1R3C3_czy,inactive,3.0,actions:app_custom_event.fb_mobile_purchase,29.83666667,260707_ABO_AEO-Purchase_ios_vid_Growme_WW_0706_文案老形式_joy,44060,89.51,1.243759,0.1452514,52.0,1.721346,5.0,17.902,3.0,29.836667,0.611775,14.977304,156.0,9,,
2025-12-01,2026-08-31,20260706_GrowMe_EN_9x16_FX-Students_ZT-Learning_RS-P1X1R3C3_czy,inactive,6.0,actions:app_custom_event.fb_mobile_purchase,58.51666667,260707_ABO_AEO-Purchase_ios_vid_Growme_WW_0706_文案老形式_joy,169928,351.1,1.156372,0.2120383,155.0,2.265161,10.0,35.11,6.0,58.516667,0.502848,15.325903,855.0,9,,
2025-12-01,2026-08-31,20260706_GrowMe_EN_9x16_FX-Men_ZT-SelfImprovement_RS-P1X1R3C3_czy,not_delivering,,,,260707_ABO_AEO-Purchase_ios_vid_Growme_WW_0706_文案老形式_joy,206,0.54,2.427184,0.0,,,,,,,,21.359223,1.0,13,,
