report_start,report_end,ad_name,广告投放,成效,成效指标,单次成效费用,account,impressions,spend,ctr,custom_derived_metrics:334261784830934,installs,单次应用安装费用 (USD),subscriptions,单次订阅费用 (USD),purchases,单次购物费用 (USD),roas,基于展示次数的 3 秒视频播放率,video_completions,视频平均播放时长,结果（初始）,成效（初始）指标
2025-12-01,2026-08-31,20260608_GrowMe_EN_9x16_FX-LifeLessons_ZT-goutong_RS-P3X1R1C3_gy,inactive,,,,260609_AAA_AEO-Purchase_ios_vid_Growme_WW_0608_joy,21952,51.89,1.070517,0.16853933,15.0,3.459333,1.0,51.89,,,,17.392493,119.0,6,,
2025-12-01,2026-08-31,20260608_GrowMe_EN_9x16_FX-Learning_ZT-English_RS-P3X1R1C3_gy,inactive,,,,260609_AAA_AEO-Purchase_ios_vid_Growme_WW_0608_joy,25425,48.1,0.936087,0.21100917,23.0,2.091304,2.0,24.05,,,,18.812193,216.0,6,,
2025-12-01,2026-08-31,20260608_GrowMe_EN_9x16_FX-LifeLessons_ZT-life_RS-P3X1R1C3_gy,inactive,,,,260609_AAA_AEO-Purchase_ios_vid_Growme_WW_0608_joy,6407,17.22,0.9833,0.23076923,9.0,1.913333,,,,,,18.38614,71.0,7,,
2025-12-01,2026-08-31,20260608_GrowMe_EN_9x16_FX-LifeLessons_ZT-self_RS-P3X1R1C3_gy,not_delivering,34.0,actions:app_custom_event.fb_mobile_purchase,45.38205882,260609_AAA_AEO-Purchase_ios_vid_Growme_WW_0608_joy,670528,1542.99,1.116284,0.29861933,757.0,2.038296,54.0,28.573889,34.0,45.382059,0.434105,15.061862,8041.0,5,,
2025-12-01,2026-08-31,20260608_GrowMe_EN_9x16_FX-LifeLessons_ZT-opinion_RS-P3X1R1C3_gy,inactive,2.0,actions:app_custom_event.fb_mobile_purchase,50.335,260609_AAA_AEO-Purchase_ios_vid_Growme_WW_0608_joy,34028,100.67,1.028565,0.19689119,38.0,2.649211,6.0,16.778333,2.0,50.335,0.33287,15.040555,268.0,5,,
2025-12-01,2026-08-31,20260608_GrowMe_EN_9x16_FX-Learning_ZT- love work_RS-P3X1R1C3_fj,inactive,,,,260609_AAA_AEO-Purchase_ios_vid_Growme_WW_0608_joy,136,0.4,1.470588,0.0,,,,,,,,19.117647,,6,,
2025-12-01,2026-08-31,20260608_GrowMe_EN_9x16_FX-Learning_ZT-slowenglish_RS-P3X1R1C3_fj,inactive,,,,260609_AAA_AEO-Purchase_ios_vid_Growme_WW_0608_joy,76,0.24,0.0,,,,,,,,,17.105263,1.0,5,,
2025-12-01,2026-08-31,20260608_GrowMe_EN_9x16_FX-Learning_ZT- reading_RS-P3X1R1C3_fj,inactive,,,,260609_AAA_AEO-Purchase_ios_vid_Growme_WW_0608_joy,15180,47.24,2.852437,0.02826087,13.0,3.633846,,,,,,17.819499,166.0,4,,
2025-12-01,2026-08-31,20260608_GrowMe_EN_9x16_FX-Learning_ZT-b2_RS-P3X1R1C3_fj,inactive,,,,260609_AAA_AEO-Purchase_ios_vid_Growme_WW_0608_joy,613,2.34,6.688418,0.0,,,,,,,,33.278956,31.0,9,,
2025-12-01,2026-08-31,20260608_GrowMe_EN_9x16_FX-LifeLessons_ZT-relationships_RS-P3X1R1C3_fj,inactive,,,,260609_AAA_AEO-Purchase_ios_vid_Growme_WW_0608_joy,570,1.41,2.982456,0.05555556,1.0,1.41,,,,,,32.982456,9.0,8,,
2025-12-01,2026-08-31,20260608_GrowMe_EN_9x16_FX-Mindset_ZT-truest_RS-P3X1R1C3_fj_jql,inactive,,,,260609_AAA_AEO-Purchase_ios_vid_Growme_WW_0608_joy,953,3.19,1.364113,0.0,,,,,,,,20.041973,22.0,6,,
2025-12-01,2026-08-31,20260608_GrowMe_EN_9x16_FX-EmotionalHealth_ZT-4 sign_RS-P3X1R1C3_fj_jql,inactive,,,,260609_AAA_AEO-Purchase_ios_vid_Growme_WW_0608_joy,1538,3.64,0.455137,0.0,,,,,,,,15.019506,1.0,3,,
2025-12-01,2026-08-31,20260608_GrowMe_EN_9x16_FX-SelfImprovement_ZT-chicken soup_RS-P3X1R1C3_fj_jql,inactive,,,,260609_AAA_AEO-Purchase_ios_vid_Growme_WW_0608_joy,15712,41.34,0.859216,0.13333333,10.0,4.134,,,,,,16.961558,57.0,4,,
2025-12-01,2026-08-31,20260608_GrowMe_EN_9x16_FX-SelfImprovement_ZT-consistency_RS-P3X1R1C3_fj_jql,inactive,1.0,actions:app_custom_event.fb_mobile_purchase,56.89,260609_AAA_AEO-Purchase_ios_vid_Growme_WW_0608_joy,21944,56.89,0.751914,0.14,14.0,4.063571,2.0,28.445,1.0,56.89,0.165583,16.578564,37.0,4,,
2025-12-01,2026-08-31,20260608_GrowMe_EN_9x16_FX-SelfImprovement_ZT-care about_RS-P3X1R1C3_fj_jql,inactive,,,,260609_AAA_AEO-Purchase_ios_vid_Growme_WW_0608_joy,67797,119.14,0.526572,0.12663755,29.0,4.108276,,,,,,14.468192,243.0,4,,
2025-12-01,2026-08-31,20260608_GrowMe_EN_9x16_FX-Mindset_ZT-change_RS-P3X1R1C3_fj_jql,inactive,,,,260609_AAA_AEO-Purchase_ios_vid_Growme_WW_0608_joy,10908,30.39,1.650165,0.0620155,8.0,3.79875,2.0,15.195,,,,18.005134,44.0,7,,
2025-12-01,2026-08-31,20260608_GrowMe_EN_9x16_FX-Mindset_ZT-build_RS-P3X1R1C3_fj_jql,inactive,,,,260609_AAA_AEO-Purchase_ios_vid_Growme_WW_0608_joy,4279,9.42,0.981538,0.2173913,5.0,1.884,2.0,4.71,,,,24.655293,9.0,5,,
