报告开始日期,报告结束日期,广告名称,广告投放,成效,成效指标,单次成效费用,广告组名称,展示次数,"已花费金额 (USD)",点击率（全部）,custom_derived_metrics:334261784830934,应用安装量,"单次应用安装费用 (USD)",订阅次数,"单次订阅费用 (USD)",购物次数,"单次购物费用 (USD)","广告花费回报 (ROAS) - 购物","单次展示的播放视频达 3 秒率","视频播放进度达 100% 的次数",视频平均播放时长,结果（初始）,成效（初始）指标
2026-05-01,2026-06-08,20260604_growme_EN_9x16_FX-lifelessons_ZT-leisi_RS-P1X1R3C3_gy_wxx,not_delivering,,,,260605_AAA_AEO-Purchase_ios_vid_Growme_T1_0604_joy,757,9.64,1.453104,0.33333333,1,9.64,,,,,,22.457067,21,8,,
2026-05-01,2026-06-08,20260604_GrowMe_EN_9x16_FX-Learning_ZT-habbit_RS-P3X1R1C3_gy,inactive,1,actions:app_custom_event.fb_mobile_purchase,72.26,260605_AAA_AEO-Purchase_ios_vid_Growme_T1_0604_joy,7303,72.26,2.273038,0.27710843,23,3.141739,1,72.26,1,72.26,0.149875,16.965631,110,7,,
2026-05-01,2026-06-08,"20260603_GrowMe_EN_9x16_FX-Mindset_ZT- just reminder_RS-P3X1R1C3_fj_jql",not_delivering,,,,260605_AAA_AEO-Purchase_ios_vid_Growme_T1_0604_joy,147,1.61,1.360544,0,,,1,1.61,,,,39.455782,2,8,,
2026-05-01,2026-06-08,20260603_GrowMe_EN_9x16_FX-Discipline_ZT-2choice_RS-P3X1R1C3_fj_jql,active,,,,260604_AAA_AEO-Purchase_ios_vid_Growme_T1_0603_joy,17,0.24,5.882353,0,,,,,,,,47.058824,1,7,,
2026-05-01,2026-06-08,20260603_GrowMe_EN_9x16_FX-Quotes_ZT-nostalgia_RS-P3X1R1C3_gy,active,,,,260604_AAA_AEO-Purchase_ios_vid_Growme_T1_0603_joy,55,0.42,0,,,,,,,,,38.181818,1,4,,
2026-05-01,2026-06-08,20260603_GrowMe_EN_9x16_FX-Growth_ZT-change_RS-P3X1R1C3_gy,inactive,1,actions:app_custom_event.fb_mobile_purchase,52.37,260604_AAA_AEO-Purchase_ios_vid_Growme_T1_0603_joy,5332,52.37,2.156789,0.28205128,11,4.760909,6,8.728333,1,52.37,0.24136,23.274569,75,8,,
2026-05-01,2026-06-08,20260603_growme_EN_9x16_FX-lifeisnoteasy_ZT-youshouldtry_RS-P1X1R3C3_wxx,active,,,,260604_AAA_AEO-Purchase_ios_vid_Growme_T1_0603_joy,20,0.07,0,,,,,,,,,10,,5,,
2026-05-01,2026-06-08,"20260603_GrowMe_EN_9x16_FX-WomenEmpowerment_ZT- forgive_RS-P3X1R1C3_fj_jql",active,,,,260604_AAA_AEO-Purchase_ios_vid_Growme_T1_0603_joy,137,2.31,4.379562,0,,,,,,,,42.335766,,6,,
2026-05-01,2026-06-08,20260603_growme_EN_9x16_FX-Learning_ZT-singsong_RS-P1X1R3C3_wxx,active,,,,260604_AAA_AEO-Purchase_ios_vid_Growme_T1_0603_joy,48,0.44,0,,,,,,,,,12.5,,2,,
2026-05-01,2026-06-08,20260603_GrowMe_EN_9x16_FX-Mindset_ZT-howto_RS-P3X1R1C3_fj_jql,active,,,,260604_AAA_AEO-Purchase_ios_vid_Growme_T1_0603_joy,15,0.13,0,,,,,,,,,26.666667,,5,,
2026-05-01,2026-06-08,"20260603_GrowMe_EN_9x16_FX-Mindset_ZT- dosomeing_RS-P3X1R1C3_fj_jql",not_delivering,,,,260605_AAA_AEO-Purchase_ios_vid_Growme_T1_0604_joy,132,1.49,0,,,,,,,,,28.787879,1,4,,
2026-05-01,2026-06-08,20260604_growme_EN_9x16_FX-lifelessons_ZT-leisi-noone_RS-P1X1R3C3_wxx,inactive,,,,260605_AAA_AEO-Purchase_ios_vid_Growme_T1_0604_joy,21488,216.95,1.317014,0.36231884,50,4.339,4,54.2375,,,,20.546351,207,9,,
2026-05-01,2026-06-08,20260604_GrowMe_EN_9x16_FX-LifeLessons_ZT-try_RS-P3X1R1C3_gy,not_delivering,,,,260605_AAA_AEO-Purchase_ios_vid_Growme_T1_0604_joy,2,0,0,,,,,,,,,,,1,,
2026-05-01,2026-06-08,20260604_GrowMe_EN_9x16_FX-Quotes_ZT-stop_RS-P3X1R1C3_fj,not_delivering,,,,260605_AAA_AEO-Purchase_ios_vid_Growme_T1_0604_joy,3,0,0,,,,,,,,,,,1,,
2026-05-01,2026-06-08,"20260604_GrowMe_EN_9x16_FX-Mindset_ZT- happy_RS-P3X1R1C3_fj",not_delivering,,,,260605_AAA_AEO-Purchase_ios_vid_Growme_T1_0604_joy,316,3.66,0.949367,,,,,,,,,22.468354,2,6,,
2026-05-01,2026-06-08,20260603_GrowMe_0_EN_9x16_FX-Learning_ZT-speak_RS-P3X1R1C3_gy,active,22,actions:app_custom_event.fb_mobile_purchase,41.37590909,260604_AAA_AEO-Purchase_ios_vid_Growme_T1_0603_joy,126892,910.27,1.763705,0.3398374,209,4.355359,47,19.367447,22,41.375909,0.359322,21.683794,1621,9,,
2026-05-01,2026-06-08,20260603_GrowMe_EN_9x16_FX-WomenEmpowerment_ZT-nofriends_RS-P3X1R1C3_fj,active,,,,260604_AAA_AEO-Purchase_ios_vid_Growme_T1_0603_joy,13,0.08,0,,,,,,,,,23.076923,,8,,
2026-05-01,2026-06-08,"20260603_GrowMe_EN_9x16_FX- Focus_ZT- yourself_RS-P3X1R1C3_fj",active,,,,260604_AAA_AEO-Purchase_ios_vid_Growme_T1_0603_joy,2,0.01,0,,,,,,,,,,,1,,
2026-05-01,2026-06-08,20260603_GrowMe_EN_9x16_FX-Formats_ZTdonghua_RS-P3X1R1C3_gy,active,,,,260604_AAA_AEO-Purchase_ios_vid_Growme_T1_0603_joy,14,0.1,0,,,,,,,,,21.428571,,2,,
2026-05-01,2026-06-08,20260603_GrowMe_EN_9x16_FX-Mindset_ZT-stronger_RS-P3X1R1C3_gy,active,,,,260604_AAA_AEO-Purchase_ios_vid_Growme_T1_0603_joy,5,0,0,,,,,,,,,40,,3,,
2026-05-01,2026-06-08,20260603_GrowMe_EN_9x16_FX-Quotes_ZT-11things_RS-P3X1R1C3_fj,active,,,,260604_AAA_AEO-Purchase_ios_vid_Growme_T1_0603_joy,8,0.01,0,,,,,,,,,12.5,,2,,
2026-05-01,2026-06-08,20260603_GrowMe_EN_9x16_FX-WomenEmpowerment_ZT-forgive_RS-P3X1R1C3_gy,active,,,,260604_AAA_AEO-Purchase_ios_vid_Growme_T1_0603_joy,70,0.51,0,,,,,,,,,25.714286,,6,,
2026-05-01,2026-06-08,20260603_growme_EN_9x16_FX-lifelessons_ZT-lifeplanned_RS-P1X1R3C3_wxx,active,,,,260604_AAA_AEO-Purchase_ios_vid_Growme_T1_0603_joy,193,2.24,1.036269,0,,,,,,,,17.098446,2,6,,
2026-05-01,2026-06-08,20260603_GrowMe_EN_9x16_FX-fear_ZT-d1_RS-P3X1R1C3_fj,active,,,,260604_AAA_AEO-Purchase_ios_vid_Growme_T1_0603_joy,373,3.76,0.536193,0,,,,,,,,15.817694,3,4,,
2026-05-01,2026-06-08,20260603_GrowMe_EN_9x16_FX-Formats_ZT-respect_RS-P3X1R1C3_gy,active,,,,260604_AAA_AEO-Purchase_ios_vid_Growme_T1_0603_joy,200,2.31,0,,,,,,,,,24,,4,,
2026-05-01,2026-06-08,20260603_growme_EN_9x16_FX-lifelessons_ZT-youshouldtry_RS-P1X1R3C3_wxx,active,,,,260604_AAA_AEO-Purchase_ios_vid_Growme_T1_0603_joy,1492,11.85,0.670241,0.16666667,1,11.85,,,,,,16.55496,10,3,,
2026-05-01,2026-06-08,20260603_GrowMe_EN_9x16_FX-WomenEmpowerment_ZT-women_RS-P3X1R1C3_fj_jql,active,,,,260604_AAA_AEO-Purchase_ios_vid_Growme_T1_0603_joy,5,0.07,0,,,,,,,,,20,,3,,
2026-05-01,2026-06-08,20260602_GrowMe_0_EN_9x16_FX-Learning_ZT-read_RS-P3X1R1C3_gy,inactive,1,actions:app_custom_event.fb_mobile_purchase,189.13,260603_AAA_AEO-Purchase_ios_vid_Growme_T1_0602_joy,23140,189.13,1.227312,0.25,45,4.202889,8,23.64125,1,189.13,0.154708,15.898876,200,5,,
2026-05-01,2026-06-08,20260602_GrowMe_0_EN_9x16_FX-Learning_ZT-speak_RS-P3X1R1C3_gy,active,,,,260603_AAA_AEO-Purchase_ios_vid_Growme_T1_0602_joy,76,0.46,0,,,,,,,,,22.368421,1,7,,
2026-05-01,2026-06-08,20260602_GrowMe_0_EN_9x16_FX-Growth_ZT-naixin_RS-P3X1R1C3_gy,active,,,,260603_AAA_AEO-Purchase_ios_vid_Growme_T1_0602_joy,22,0.26,4.545455,0,,,,,,,,27.272727,,6,,
2026-05-01,2026-06-08,20260602_GrowMe_0_EN_9x16_FX-Quotes_ZT-dream_RS-P3X1R1C3_gy,active,,,,260603_AAA_AEO-Purchase_ios_vid_Growme_T1_0602_joy,1,0,0,,,,,,,,,,,2,,
2026-05-01,2026-06-08,"20260602_GrowMe_EN_9x16_FX-Communication_ZT- voice_RS-P3X1R1C3_fj",active,,,,260603_AAA_AEO-Purchase_ios_vid_Growme_T1_0602_joy,487,6.29,1.437372,0,,,,,,,,20.73922,23,5,,
2026-05-01,2026-06-08,20260602_GrowMe_EN_9x16_FX-LifeLessons_ZT-Lifeadvice_RS-P3X1R1C3_fj_jql,active,,,,260603_AAA_AEO-Purchase_ios_vid_Growme_T1_0602_joy,138,2.24,0.724638,,,,,,,,,37.681159,2,6,,
2026-05-01,2026-06-08,20260602_GrowMe_EN_9x16_FX-LifeLessons_ZT-Letnature_RS-P3X1R1C3_fj_jql,active,,,,260603_AAA_AEO-Purchase_ios_vid_Growme_T1_0602_joy,70,1.29,2.857143,0,,,,,,,,30,2,4,,
2026-05-01,2026-06-08,20260602_GrowMe_EN_9x16_FX-Growth_ZT-startover_RS-P3X1R1C3_fj,active,,,,260603_AAA_AEO-Purchase_ios_vid_Growme_T1_0602_joy,157,2.05,0,,,,,,,,,19.745223,1,4,,
2026-05-01,2026-06-08,20260602_growme_EN_9x16_FX-Quotes_ZT-survive_RS-P1X1R3C3_wxx,active,,,,260603_AAA_AEO-Purchase_ios_vid_Growme_T1_0602_joy,890,7.57,0.561798,,,,,,,,,23.033708,2,4,,
2026-05-01,2026-06-08,"20260603_GrowMe_EN_9x16_FX- Focus_ZT-morning_RS-P3X1R1C3_fj",active,,,,260604_AAA_AEO-Purchase_ios_vid_Growme_T1_0603_joy,11,0.06,0,,,,,,,,,54.545455,,4,,
2026-05-01,2026-06-08,20260603_GrowMe_EN_9x16_FX-SelfImprovement_ZT-dontcare_RS-P3X1R1C3_fj_jql,active,,,,260604_AAA_AEO-Purchase_ios_vid_Growme_T1_0603_joy,0,0,0,,,,,,,,,,,00:00:00,,
2026-05-01,2026-06-08,20260603_GrowMe_EN_9x16_FX-Discipline_ZT-thinking_RS-P3X1R1C3_fj_jql,active,,,,260604_AAA_AEO-Purchase_ios_vid_Growme_T1_0603_joy,40,0.29,0,,,,,,,,,35,1,5,,
2026-05-01,2026-06-08,20260602_GrowMe_EN_9x16_FX-Quotes_ZT-10books_RS-P3X1R1C3_fj,active,,,,260603_AAA_AEO-Purchase_ios_vid_Growme_T1_0602_joy,57,0.82,0,,,,,,,,,28.070175,1,3,,
2026-05-01,2026-06-08,20260602_GrowMe_EN_9x16_FX-Mindset_ZT-behindlife_RS-P3X1R1C3_fj,active,,,,260603_AAA_AEO-Purchase_ios_vid_Growme_T1_0602_joy,129,1.43,0.775194,0,,,,,,,,26.356589,4,9,,
