报告开始日期,报告结束日期,广告名称,广告投放,成效,成效指标,单次成效费用,广告组名称,展示次数,"CPM（千次展示费用） (USD)","已花费金额 (USD)",应用安装量,"单次应用安装费用 (USD)",订阅次数,"单次订阅费用 (USD)",购物次数,"单次购物费用 (USD)","广告花费回报 (ROAS) - 购物",点击率（全部）,custom_derived_metrics:334261784830934,"单次展示的播放视频达 3 秒率","视频播放进度达 100% 的次数",结果（初始）,成效（初始）指标
2026-06-01,2026-06-29,20260626_growme_EN_9x16_FX-SelfImprovement_ZT-move_RS-P1X1R3C3_fj,active,,,,260626_ABO_AEO-Purchase_ios_vid_Growme_WW_0626_joy,3954,2.827516,11.18,1,11.18,,,,,,1.416287,0.02564103,18.007081,38,,
2026-06-01,2026-06-29,20260626_GrowMe_EN_9x16_FX-Learning_ZT-speak_RS-P3X1R1C3_gy,inactive,,,,260626_ABO_AEO-Purchase_ios_vid_Growme_WW_0626_joy,7287,3.388226,24.69,15,1.646,,,,,,1.687937,0.2027027,21.819679,110,,
2026-06-01,2026-06-29,20260626_GrowMe_EN_9x16_FX-LifeLessons_ZT-podcast_RS-P3X1R1C3_gy,inactive,,,,260626_ABO_AEO-Purchase_ios_vid_Growme_WW_0626_joy,6448,3.779467,24.37,9,2.707778,,,,,,1.457816,0.14754098,18.532878,99,,
2026-06-01,2026-06-29,20260625_growme_EN_9x16_FX-Mindset_ZT-smile_RS-P1X1R3C3_wxx,inactive,,,,260626_ABO_AEO-Purchase_ios_vid_Growme_WW_0625_joy,5387,4.247262,22.88,8,2.86,,,,,,2.153332,0.11764706,16.224244,20,,
2026-06-01,2026-06-29,20260625_growme_EN_9x16_FX-test_ZT-people_RS-P1X1R3C3_wxx_JR_RMG-5713b,active,,,,260626_ABO_AEO-Purchase_ios_vid_Growme_WW_0625_joy,87,6.091954,0.53,,,,,,,,1.149425,,27.586207,2,,
2026-06-01,2026-06-29,20260625_GrowMe_EN_9x16_FX-Communication__ZT-Communication_RS-P3X1R1C3_gy,active,,,,260626_ABO_AEO-Purchase_ios_vid_Growme_WW_0625_joy,3296,2.912621,9.6,,,,,,,,0.879854,0,15.321602,13,,
2026-06-01,2026-06-29,20260625_growme_EN_9x16_FX-Learning1_ZT-speak_RS-P3X1R1C3_gy_JR_RMG-5886a,inactive,,,,260626_ABO_AEO-Purchase_ios_vid_Growme_WW_0625_joy,6534,3.481788,22.75,8,2.84375,,,,,,1.729415,0.10810811,22.972146,92,,
2026-06-01,2026-06-29,20260625_growme_EN_9x16_FX-Learning_ZT-read1_RS-P1X1R3C3_wxx,active,,,,260626_ABO_AEO-Purchase_ios_vid_Growme_WW_0625_joy,124,3.709677,0.46,,,,,,,,1.612903,0,26.612903,,,
2026-06-01,2026-06-29,20260625_growme_EN_9x16_FX-Mindset_ZT-youngerself_RS-P1X1R3C3_wxx,active,,,,260626_ABO_AEO-Purchase_ios_vid_Growme_WW_0625_joy,86,2.44186,0.21,,,,,,,,2.325581,0,20.930233,1,,
2026-06-01,2026-06-29,20260625_GrowMe_EN_9x16_FX-Mindset_ZT-quiet_RS-P3X1R1C3_gy,active,,,,260626_ABO_AEO-Purchase_ios_vid_Growme_WW_0625_joy,602,2.624585,1.58,,,,,,,,0.664452,0,13.953488,9,,
2026-06-01,2026-06-29,20260625_GrowMe_EN_9x16_FX-Learning_ZT-speak_RS-P3X1R1C3_gy,inactive,1,actions:app_custom_event.fb_mobile_purchase,52.05,260626_ABO_AEO-Purchase_ios_vid_Growme_WW_0625_joy,43927,1.18492,52.05,60,0.8675,1,52.05,1,52.05,0.201537,0.944749,0.25974026,17.187607,664,,
2026-06-01,2026-06-29,20260625_GrowMe_EN_9x16_FX-Lifelessons_ZT-perfectly_RS-P3X1R1C3_gy,active,,,,260626_ABO_AEO-Purchase_ios_vid_Growme_WW_0625_joy,41,3.414634,0.14,,,,,,,,2.439024,0,19.512195,2,,
2026-06-01,2026-06-29,20260626_GrowMe_EN_9x16_FX-Lifelessons_ZT-time_RS-P3X1R1C3_gy,inactive,,,,260626_ABO_AEO-Purchase_ios_vid_Growme_WW_0626_joy,10853,2.196628,23.84,11,2.167273,,,,,,1.004331,0.15714286,15.562517,207,,
2026-06-01,2026-06-29,20260626_growme_EN_9x16_FX-Mindset_ZT-beginagain_RS-P1X1R3C3_wxx,active,,,,260626_ABO_AEO-Purchase_ios_vid_Growme_WW_0626_joy,479,2.505219,1.2,,,,,,,,2.087683,0,22.755741,4,,
2026-06-01,2026-06-29,20260626_growme_EN_9x16_FX-SelfImprovement_ZT-change_RS-P1X1R3C3_wxx,active,,,,260626_ABO_AEO-Purchase_ios_vid_Growme_WW_0626_joy,42,5.714286,0.24,,,,,,,,2.380952,,33.333333,2,,
2026-06-01,2026-06-29,20260625_GrowMe_EN_9x16_FX-SelfImprovement_ZT-education_RS-P3X1R1C3_gy_jql,active,,,,260626_ABO_AEO-Purchase_ios_vid_Growme_WW_0625_joy,307,2.312704,0.71,,,,,,,,1.954397,0,17.589577,2,,
2026-06-01,2026-06-29,20260625_GrowMe_EN_9x16_FX-SelfImprovement_ZT-haoqi_RS-P3X1R1C3_gy_jql,active,,,,260626_ABO_AEO-Purchase_ios_vid_Growme_WW_0625_joy,53,2.264151,0.12,,,,,,,,0,,16.981132,,,
2026-06-01,2026-06-29,20260625_GrowMe_EN_9x16_FX-Focus_ZT-learn_RS-P3X1R1C3_gy_jql,active,,,,260626_ABO_AEO-Purchase_ios_vid_Growme_WW_0625_joy,360,1.972222,0.71,,,,,,,,0.833333,0,20.277778,,,
2026-06-01,2026-06-29,20260625_GrowMe_EN_9x16_FX-Mindset_ZT-predict_RS-P3X1R1C3_gy_jql,active,,,,260626_ABO_AEO-Purchase_ios_vid_Growme_WW_0625_joy,198,4.393939,0.87,,,,,,,,3.030303,0,21.717172,1,,
2026-06-01,2026-06-29,20260625_GrowMe_EN_9x16_FX-SelfImprovement_ZT-brain_RS-P3X1R1C3_gy_jql,active,,,,260626_ABO_AEO-Purchase_ios_vid_Growme_WW_0625_joy,521,3.090211,1.61,,,,,,,,1.535509,0,19.769674,6,,
2026-06-01,2026-06-29,20260625_GrowMe_EN_9x16_FX-Mindset_ZT-learning_RS-P3X1R1C3_gy_jql,active,,,,260626_ABO_AEO-Purchase_ios_vid_Growme_WW_0625_joy,135,4,0.54,,,,,,,,0,,20,1,,
2026-06-01,2026-06-29,20260625_GrowMe_EN_9x16_FX-Learning_ZT-english_LV1-black_RS-P3X1R1C3_fj,inactive,,,,260626_ABO_AEO-Purchase_ios_vid_Growme_WW_0625_joy,22941,2.101478,48.21,22,2.191364,,,,,,0.976418,0.18965517,17.649623,214,,
2026-06-01,2026-06-29,20260625_growme_EN_9x16_FX-SelfImprovement_ZT-grow_RS-P1X1R3C3_wxx,inactive,1,actions:app_custom_event.fb_mobile_purchase,94.21,260626_ABO_AEO-Purchase_ios_vid_Growme_WW_0625_joy,36277,2.596962,94.21,76,1.239605,4,23.5525,1,94.21,0.365672,1.370014,0.247557,16.906029,221,,
2026-06-01,2026-06-29,20260625_growme_EN_9x16_FX-Learning2_ZT-speak_RS-P3X1R1C3_JR_RMG-5886b,active,,,,260626_ABO_AEO-Purchase_ios_vid_Growme_WW_0625_joy,429,5.664336,2.43,1,2.43,,,,,,2.331002,0.16666667,27.272727,9,,
2026-06-01,2026-06-29,20260625_growme_EN_9x16_FX-test_ZT-listen_RS-P1X1R3C3_wxx_JR_RMG-5713a,active,,,,260626_ABO_AEO-Purchase_ios_vid_Growme_WW_0625_joy,891,3.142536,2.8,,,,,,,,1.010101,0,22.109989,13,,
2026-06-01,2026-06-29,20260625_growme_EN_9x16_FX-Learning_ZT-read2_RS-P1X1R3C3_wxx,active,,,,260626_ABO_AEO-Purchase_ios_vid_Growme_WW_0625_joy,361,4.792244,1.73,1,1.73,,,,,,2.216066,0.2,23.268698,5,,
2026-06-01,2026-06-29,20260625_GrowMe_EN_9x16_FX-Mindset_ZT-forget_RS-P3X1R1C3_gy,active,,,,260626_ABO_AEO-Purchase_ios_vid_Growme_WW_0625_joy,960,3.34375,3.21,,,,,,,,1.979167,0,20.9375,15,,
2026-06-01,2026-06-29,20260624_growme_EN_9x16_FX-LifeLessons_ZT-18habit_RS-P1X1R3C3_wxx,active,,,,260625_ABO_AEO-Purchase_ios_vid_Growme_WW_0624_joy,67,1.343284,0.09,1,0.09,,,,,,2.985075,1,11.940299,,,
2026-06-01,2026-06-29,20260624_growme_EN_9x16_FX-Learning_ZT-child_RS-P1X1R3C3_wxx,inactive,,,,260625_ABO_AEO-Purchase_ios_vid_Growme_WW_0624_joy,16328,3.215948,52.51,13,4.039231,1,52.51,,,,1.237139,0.13265306,19.316512,171,,
2026-06-01,2026-06-29,20260624_growme_EN_9x16_FX-Mindset_ZT-light_RS-P1X1R3C3_wxx,active,,,,260625_ABO_AEO-Purchase_ios_vid_Growme_WW_0624_joy,16,0,0,,,,,,,,0,,12.5,,,
2026-06-01,2026-06-29,20260624_GrowMe_EN_9x16_FX-Communication_ZT-zixin_RS-P3X1R1C3_fj,active,,,,260625_ABO_AEO-Purchase_ios_vid_Growme_WW_0624_joy,318,8.176101,2.6,,,,,,,,1.572327,0,16.666667,3,,
2026-06-01,2026-06-29,20260625_GrowMe_EN_9x16_FX-Learning_ZT-Education_RS-P3X1R1C3_fj,active,,,,260626_ABO_AEO-Purchase_ios_vid_Growme_WW_0625_joy,33,4.848485,0.16,,,,,,,,3.030303,,6.060606,,,
