report_start,report_end,ad_name,广告投放,成效,成效指标,单次成效费用,account,impressions,CPM（千次展示费用） (USD),spend,installs,单次应用安装费用 (USD),subscriptions,单次订阅费用 (USD),purchases,单次购物费用 (USD),roas,ctr,custom_derived_metrics:334261784830934,hook_rate,帖子评论数,帖文互动,成效获得率,video_completions,结果（初始）,成效（初始）指标
2025-12-01,2026-08-03,20260722_growme_EN_9x16_FX-Form_ZT-Jealousy_RS-P1X1R1C3_HJ_095KB_RMG-6735D,not_delivering,,,,260722_ABO_AEO-Purchase_ios_vid_Growme_WW_新形式1_joy,3722,0.480924,1.79,1.0,1.79,,,,,,0.779151,0.04166667,11.714132,,469.0,,8.0,,
2025-12-01,2026-08-03,20260722_growme_EN_9x16_FX-EnglishLearners_ZT-VP-english-2_RS-P1X1R3C3_wxx_JR_RMG-6741b,inactive,,,,260722_ABO_AEO-Purchase_ios_vid_Growme_WW_新形式1_joy,9419,0.330184,3.11,1.0,3.11,,,,,,0.43529,0.03571429,16.902007,,1642.0,,9.0,,
2025-12-01,2026-08-03,20260722_growme_EN_9x16_FX-reading_ZT-read-1_RS-P1X1R3C3_JR_RMG-6741g,inactive,,,,260722_ABO_AEO-Purchase_ios_vid_Growme_WW_新形式1_joy,15081,0.816922,12.32,1.0,12.32,,,,,,1.021152,0.00769231,14.873019,,2398.0,,29.0,,
2025-12-01,2026-08-03,20260722_growme_EN_9x16_FX-reaking_ZT-learning_RS-P1X1R3C3_JR_RMG-6739e,not_delivering,,,,260722_ABO_AEO-Purchase_ios_vid_Growme_WW_新形式1_joy,892,0.392377,0.35,,,,,,,,0.560538,0.0,13.2287,,121.0,,6.0,,
2025-12-01,2026-08-03,20260722_growme_EN_9x16_FX-EnglishLearners_ZT-VP-english-3_RS-P1X1R3C3_wxx_JR_RMG-6741c,inactive,,,,260722_ABO_AEO-Purchase_ios_vid_Growme_WW_新形式1_joy,10142,0.920923,9.34,2.0,4.67,,,,,,1.153619,0.01818182,17.185959,,1867.0,,25.0,,
2025-12-01,2026-08-03,20260722_growme_EN_9x16_FX-reading_ZT-read-1_RS-P1X1R3C3_JR_RMG-6741f,not_delivering,,,,260722_ABO_AEO-Purchase_ios_vid_Growme_WW_新形式1_joy,1517,0.520765,0.79,,,,,,,,0.791035,0.0,11.535926,,187.0,,2.0,,
2025-12-01,2026-08-03,20260722_growme_EN_9x16_FX-Form_ZT-Reading_RS-P1X1R1C1_HJ_095KB_RMG-6736A,inactive,,,,260722_ABO_AEO-Purchase_ios_vid_Growme_WW_新形式1_joy,9313,0.839686,7.82,2.0,3.91,,,,,,0.622785,0.05,8.085472,,804.0,,21.0,,
2025-12-01,2026-08-03,20260720_growme_EN_9x16_FX-EnglishLearners_ZT-ai-song_RS-P1X1R3C3_fj,inactive,,,,260722_ABO_AEO-Purchase_ios_vid_Growme_WW_新形式1_joy,10124,2.017977,20.43,,,,,,,,1.442118,0.0,29.02015,,3103.0,,31.0,,
2025-12-01,2026-08-03,20260720_GrowMe_EN_9x16_01_FX-SelfGrowth_ZT-book-idk_RS-P1X1R3C3_wxx,inactive,,,,260722_ABO_AEO-Purchase_ios_vid_Growme_WW_新形式1_joy,42247,0.509149,21.51,17.0,1.265294,1.0,21.51,,,,0.49471,0.17894737,30.766682,,13526.0,,469.0,,
2025-12-01,2026-08-03,20260720_growme_EN_9x16_FX-EnglishLearners_ZT-Learning-pic_RS-P1X1R3C3_fj,inactive,1.0,actions:app_custom_event.fb_mobile_purchase,37.42,260722_ABO_AEO-Purchase_ios_vid_Growme_WW_新形式1_joy,16040,2.332918,37.42,33.0,1.133939,1.0,37.42,1.0,37.42,0.177445,1.552369,0.23571429,10.629676,,1960.0,0.00623441,52.0,,
