report_start,report_end,ad_name,广告投放,成效,成效指标,单次成效费用,account,impressions,spend,ctr,custom_derived_metrics:334261784830934,installs,单次应用安装费用 (USD),subscriptions,单次订阅费用 (USD),purchases,单次购物费用 (USD),roas,基于展示次数的 3 秒视频播放率,video_completions,视频平均播放时长,结果（初始）,成效（初始）指标
2025-12-01,2026-08-31,20260622_GrowMe_EN_9x16_FX-LifeLessons_ZT-responsibility_RS-P3X1R1C3_fj,inactive,15.0,actions:app_custom_event.fb_mobile_purchase,45.2,260623_ABO_AEO-Purchase_ios_vid_Growme_WW_0622_joy,224376,678.0,1.091471,0.20191599,274.0,2.474453,21.0,32.285714,15.0,45.2,0.39208,12.125628,1337.0,3,,
2025-12-01,2026-08-31,20260622_GrowMe_EN_9x16_FX-Learning_ZT-tigao_RS-P3X1R1C3_fj,inactive,,,,260623_ABO_AEO-Purchase_ios_vid_Growme_WW_0622_joy,20717,53.2,1.168123,0.25153374,41.0,1.297561,,,,,,11.478496,87.0,3,,
2025-12-01,2026-08-31,20260622_GrowMe_EN_9x16_FX-Learning_ZT-english_RS-P3X1R1C3_fj,inactive,,,,260623_ABO_AEO-Purchase_ios_vid_Growme_WW_0622_joy,8423,25.48,1.519649,0.10588235,9.0,2.831111,,,,,,16.763623,93.0,8,,
2025-12-01,2026-08-31,20260622_GrowMe_EN_9x16_FX-Learning_ZT-yourself_RS-P3X1R1C3_fj,inactive,,,,260623_ABO_AEO-Purchase_ios_vid_Growme_WW_0622_joy,18564,47.35,0.910364,0.06521739,6.0,7.891667,,,,,,15.379229,181.0,6,,
2025-12-01,2026-08-31,20260622_GrowMe_EN_9x16_FX-Learning_ZT-social media_RS-P3X1R1C3_fj,inactive,,,,260623_ABO_AEO-Purchase_ios_vid_Growme_WW_0622_joy,12086,33.51,1.166639,0.09459459,7.0,4.787143,,,,,,12.841304,108.0,5,,
2025-12-01,2026-08-31,20260622_GrowMe_EN_9x16_FX-LifeLessons_ZT-choice_RS-P3X1R1C3_gy,not_delivering,,,,260623_ABO_AEO-Purchase_ios_vid_Growme_WW_0622_joy,46,0.12,4.347826,0.0,,,,,,,,23.913043,2.0,9,,
2025-12-01,2026-08-31,20260622_GrowMe_EN_9x16_FX-Learning_ZT-speaking_RS-P3X1R1C3_gy,not_delivering,1.0,actions:app_custom_event.fb_mobile_purchase,121.03,260623_ABO_AEO-Purchase_ios_vid_Growme_WW_0622_joy,73063,121.03,0.982714,0.26430518,97.0,1.247732,5.0,24.206,1.0,121.03,0.125093,15.319656,686.0,8,,
2025-12-01,2026-08-31,20260622_GrowMe_EN_9x16_FX-LifeLessons_ZT-responsibility_RS-P3X1R1C3_gy,inactive,,,,260623_ABO_AEO-Purchase_ios_vid_Growme_WW_0622_joy,13104,44.54,1.083639,0.25,18.0,2.474444,,,,,,19.84127,150.0,10,,
2025-12-01,2026-08-31,20260622_GrowMe_EN_9x16_FX-Mindset_ZT-confident_RS-P3X1R1C3_gy,inactive,,,,260623_ABO_AEO-Purchase_ios_vid_Growme_WW_0622_joy,31719,66.87,0.769255,0.26119403,35.0,1.910571,,,,,,16.605189,448.0,5,,
2025-12-01,2026-08-31,20260622_GrowMe_EN_9x16_FX-Learning_ZT-English_RS-P3X1R1C3_gy,inactive,,,,260623_ABO_AEO-Purchase_ios_vid_Growme_WW_0622_joy,9830,22.0,0.701933,0.27272727,9.0,2.444444,,,,,,16.073245,84.0,7,,
2025-12-01,2026-08-31,20260623_growme_EN_9x16_FX-LifeLessons_ZT-readvsnotread_RS-P1X1R3C3_wxx,not_delivering,,,,260624_ABO_AEO-Purchase_ios_vid_Growme_WW_0623_joy,3738,6.09,0.58855,0.0,,,,,,,,51.578384,420.0,5,,
2025-12-01,2026-08-31,20260623_growme_EN_9x16_FX-LifeLessons_ZT-capable_RS-P1X1R3C3_wxx,not_delivering,,,,260624_ABO_AEO-Purchase_ios_vid_Growme_WW_0623_joy,205,0.7,2.439024,0.0,,,,,,,,25.365854,5.0,18,,
2025-12-01,2026-08-31,20260623_growme_EN_9x16_FX-Mindset_ZT-comfortzone_RS-P1X1R3C3_wxx,not_delivering,,,,260624_ABO_AEO-Purchase_ios_vid_Growme_WW_0623_joy,351,1.17,1.139601,0.0,,,,,,,,20.22792,3.0,10,,
2025-12-01,2026-08-31,20260623_GrowMe_EN_9x16_FX-Learning_ZT-english-2_RS-P3X1R1C3_fj,inactive,4.0,actions:app_custom_event.fb_mobile_purchase,55.2425,260624_ABO_AEO-Purchase_ios_vid_Growme_WW_0623_joy,103307,220.97,1.322272,0.1399825,160.0,1.381063,4.0,55.2425,4.0,55.2425,0.525184,13.589592,689.0,4,,
2025-12-01,2026-08-31,20260623_GrowMe_EN_9x16_FX-Learning_ZT-english_RS-P3X1R1C3_fj,inactive,7.0,actions:app_custom_event.fb_mobile_purchase,48.44142857,260624_ABO_AEO-Purchase_ios_vid_Growme_WW_0623_joy,132862,339.09,1.470699,0.11705686,140.0,2.422071,11.0,30.826364,7.0,48.441429,0.493468,16.509611,1822.0,13,,
2025-12-01,2026-08-31,20260623_GrowMe_EN_9x16_FX-LifeLessons_ZT- change_RS-P3X1R1C3_fj,not_delivering,,,,260624_ABO_AEO-Purchase_ios_vid_Growme_WW_0623_joy,14,0.01,0.0,,,,,,,,,7.142857,,1,,
2025-12-01,2026-08-31,20260623_GrowMe_EN_9x16_FX-LifeLessons_ZT-explain_RS-P3X1R1C3_gy,not_delivering,1.0,actions:app_custom_event.fb_mobile_purchase,24.78,260624_ABO_AEO-Purchase_ios_vid_Growme_WW_0623_joy,7145,24.78,2.407278,0.0483871,6.0,4.13,1.0,24.78,1.0,24.78,1.002825,15.227432,109.0,8,,
2025-12-01,2026-08-31,20260623_GrowMe_EN_9x16_FX-Learning_ZT-read_RS-P3X1R1C3_gy,inactive,27.0,actions:app_custom_event.fb_mobile_purchase,47.57740741,260624_ABO_AEO-Purchase_ios_vid_Growme_WW_0623_joy,483481,1284.59,1.050507,0.29635707,903.0,1.42258,41.0,31.331463,27.0,47.577407,0.451444,12.354984,2674.0,5,,
2025-12-01,2026-08-31,20260623_growme_EN_9x16_FX-Learning_ZT-read_RS-P1X1R3C3_wxx,inactive,,,,260624_ABO_AEO-Purchase_ios_vid_Growme_WW_0623_joy,12560,55.55,1.815287,0.16666667,24.0,2.314583,2.0,27.775,,,,15.262739,117.0,4,,
2025-12-01,2026-08-31,20260623_GrowMe_EN_9x16_FX-LifeLessons_ZT-timedont_RS-P3X1R1C3_fj,not_delivering,,,,260624_ABO_AEO-Purchase_ios_vid_Growme_WW_0623_joy,119,0.55,0.840336,0.0,,,,,,,,20.168067,1.0,6,,
2025-12-01,2026-08-31,20260623_GrowMe_EN_9x16_FX-LifeLessons_ZT-you_RS-P3X1R1C3_fj,not_delivering,,,,260624_ABO_AEO-Purchase_ios_vid_Growme_WW_0623_joy,2298,8.84,1.610096,0.14285714,3.0,2.946667,,,,,,19.451697,43.0,16,,
2025-12-01,2026-08-31,20260623_GrowMe_EN_9x16_FX-Learning_ZT-fast_RS-P3X1R1C3_gy,inactive,,,,260624_ABO_AEO-Purchase_ios_vid_Growme_WW_0623_joy,12075,32.02,0.935818,0.21568627,11.0,2.910909,,,,,,17.258799,133.0,10,,
2025-12-01,2026-08-31,20260623_GrowMe_EN_9x16_FX-Mindset_ZT-age_RS-P3X1R1C3_gy,not_delivering,,,,260624_ABO_AEO-Purchase_ios_vid_Growme_WW_0623_joy,346,0.86,2.890173,0.0,,,,,,,,16.473988,3.0,6,,
2025-12-01,2026-08-31,20260623_GrowMe_EN_9x16_FX-Mindset_ZT-confidence_RS-P3X1R1C3_gy,not_delivering,,,,260624_ABO_AEO-Purchase_ios_vid_Growme_WW_0623_joy,603,2.1,0.829187,0.0,,,,,,,,21.890547,7.0,10,,
2025-12-01,2026-08-31,20260623_growme_EN_9x16_FX-Learning_ZT-read2_RS-P1X1R3C3_wxx,inactive,,,,260624_ABO_AEO-Purchase_ios_vid_Growme_WW_0623_joy,4451,18.92,1.460346,0.1627907,7.0,2.702857,,,,,,19.433835,29.0,10,,
2025-12-01,2026-08-31,20260624_growme_EN_9x16_FX-LifeLessons_ZT-leave_RS-P1X1R3C3_wxx,inactive,,,,260625_ABO_AEO-Purchase_ios_vid_Growme_WW_0624_joy,9435,21.56,1.059883,0.275,11.0,1.96,,,,,,15.590885,40.0,6,,
2025-12-01,2026-08-31,20260624_GrowMe_EN_9x16_FX-LifeLessons_ZT-Yesterday_RS-P3X1R1C3_fj,not_delivering,,,,260625_ABO_AEO-Purchase_ios_vid_Growme_WW_0624_joy,307,0.79,2.605863,0.0,,,,,,,,25.407166,4.0,10,,
2025-12-01,2026-08-31,20260624_GrowMe_EN_9x16_FX-Lifelessons_ZT-life_RS-P3X1R1C3_gy,inactive,,,,260625_ABO_AEO-Purchase_ios_vid_Growme_WW_0624_joy,12702,31.43,1.212407,0.14084507,10.0,3.143,,,,,,14.808692,120.0,7,,
2025-12-01,2026-08-31,20260624_GrowMe_EN_9x16_FX-Learning_ZT-education1_RS-P3X1R1C3_gy_jql,inactive,3.0,actions:app_custom_event.fb_mobile_purchase,51.33333333,260625_ABO_AEO-Purchase_ios_vid_Growme_WW_0624_joy,56744,154.0,1.79226,0.08015267,63.0,2.444444,4.0,38.5,3.0,51.333333,0.341883,15.915339,788.0,6,,
2025-12-01,2026-08-31,20260624_GrowMe_EN_9x16_FX-Learning_ZT-english_RS-P3X1R1C3_gy,not_delivering,,,,260625_ABO_AEO-Purchase_ios_vid_Growme_WW_0624_joy,1900,2.7,0.736842,0.0,,,,,,,,20.105263,9.0,7,,
2025-12-01,2026-08-31,20260624_GrowMe_EN_9x16_FX-Learning_ZT-important_RS-P3X1R1C3_gy,inactive,1.0,actions:app_custom_event.fb_mobile_purchase,67.64,260625_ABO_AEO-Purchase_ios_vid_Growme_WW_0624_joy,20377,67.64,2.07587,0.11576355,47.0,1.439149,2.0,33.82,1.0,67.64,0.2123,17.902537,339.0,5,,
2025-12-01,2026-08-31,20260624_GrowMe_EN_9x16_FX-LifeLeesons_ZT-learn1_RS-P3X1R1C3_gy_jql,inactive,,,,260625_ABO_AEO-Purchase_ios_vid_Growme_WW_0624_joy,8981,28.98,1.681327,0.01941748,2.0,14.49,,,,,,15.833426,65.0,6,,
2025-12-01,2026-08-31,20260624_GrowMe_EN_9x16_FX-Mindset_ZT-enough_RS-P3X1R1C3_gy,inactive,,,,260625_ABO_AEO-Purchase_ios_vid_Growme_WW_0624_joy,33467,73.13,0.962142,0.3989071,73.0,1.001781,,,,,,16.93011,331.0,9,,
2025-12-01,2026-08-31,20260624_GrowMe_EN_9x16_FX-Lifelessons_ZT-failure_RS-P3X1R1C3_gy,inactive,,,,260625_ABO_AEO-Purchase_ios_vid_Growme_WW_0624_joy,6735,23.07,1.232368,0.13043478,6.0,3.845,,,,,,17.14922,88.0,9,,
2025-12-01,2026-08-31,20260624_GrowMe_EN_9x16_FX-Learning_ZT-learn_RS-P3X1R1C3_gy_jql,inactive,,,,260625_ABO_AEO-Purchase_ios_vid_Growme_WW_0624_joy,14505,38.6,0.930714,0.16129032,10.0,3.86,,,,,,21.323681,140.0,8,,
2025-12-01,2026-08-31,20260624_GrowMe_EN_9x16_FX-LifeLessons_ZT-struggle_RS-P3X1R1C3_gy_jql,not_delivering,,,,260625_ABO_AEO-Purchase_ios_vid_Growme_WW_0624_joy,719,1.82,0.69541,0.0,,,,,,,,22.670376,20.0,10,,
