报告开始日期,报告结束日期,广告名称,广告投放,成效,成效指标,单次成效费用,广告组名称,展示次数,"CPM（千次展示费用） (USD)","已花费金额 (USD)",应用安装量,"单次应用安装费用 (USD)",订阅次数,"单次订阅费用 (USD)",购物次数,"单次购物费用 (USD)","广告花费回报 (ROAS) - 购物",点击率（全部）,custom_derived_metrics:334261784830934,"单次展示的播放视频达 3 秒率","视频播放进度达 100% 的次数",结果（初始）,成效（初始）指标
2025-12-01,2026-06-26,20260615_GrowMe_EN_9x16_FX-LifeLessons_ZT-peaple_RS-P3X1R1C3_gy_jql,inactive,,,,260624_ABO_AEO-Purchase_ios_vid_Growme_WW_0615排最好_joy,0,0,0,,,,,,,,0,,,,,
2025-12-01,2026-06-26,20260612_GrowMe_EN_9x16_FX-Communication_ZT-communication_RS-P3X1R1C3_fj,active,,,,260624_ABO_AEO-Purchase_ios_vid_Growme_WW_0615排最好_joy,26,0,0,,,,,,,,0,,19.230769,,,
2025-12-01,2026-06-26,20260615_GrowMe_EN_9x16_FX-LifeLessons_ZT-zhencheng_RS-P3X1R1C3_gy,active,,,,260624_ABO_AEO-Purchase_ios_vid_Growme_WW_0615排最好_joy,358,3.240223,1.16,1,1.16,,,,,,2.793296,0.25,22.625698,3,,
2025-12-01,2026-06-26,20260615_growme_EN_9x16_FX-Faith_ZT-amen_RS-P1X1R3C3_wxx,active,,,,260624_ABO_AEO-Purchase_ios_vid_Growme_WW_0615排最好_joy,1740,4.477011,7.79,4,1.9475,,,,,,1.781609,0.18181818,19.425287,25,,
2025-12-01,2026-06-26,20260618_Growme_EN_9x16_FX-Creative_JB-061801-ZR_ZT-book1_RS-P2X1R1C3_095KB-JL_RMG-5714A,active,,,,260619_ABO_AEO-Purchase_ios_vid_Growme_WW_0618_joy,112,4.285714,0.48,,,,,,,,3.571429,0,25,,,
2025-12-01,2026-06-26,20260618_growme_EN_9x16_FX-Learning_ZT-smarter_RS-P1X1R3C3_wxx,active,,,,260619_ABO_AEO-Purchase_ios_vid_Growme_WW_0618_joy,3798,4.631385,17.59,5,3.518,,,,,,2.527646,0.04854369,21.300685,28,,
2025-12-01,2026-06-26,20260618_GrowMe_EN_9x16_FX-Learning_ZT-morning_RS-P3X1R1C3_gy,inactive,,,,260619_ABO_AEO-Purchase_ios_vid_Growme_WW_0618_joy,10628,2.67595,28.44,12,2.37,,,,,,1.251411,0.17142857,15.092209,34,,
2025-12-01,2026-06-26,20260618_GrowMe_EN_9x16_FX-LifeLessons_ZT-failing_RS-P3X1R1C3_gy_jql,active,,,,260619_ABO_AEO-Purchase_ios_vid_Growme_WW_0618_joy,1413,4.38075,6.19,,,,,,,,1.344657,0,20.948337,18,,
2025-12-01,2026-06-26,20260618_GrowMe_EN_9x16_FX-LifeLessons_ZT-terms_RS-P3X1R1C3_gy_jql,active,,,,260619_ABO_AEO-Purchase_ios_vid_Growme_WW_0618_joy,133,2.556391,0.34,,,,,,,,2.255639,0,21.052632,1,,
2025-12-01,2026-06-26,20260618_GrowMe_EN_9x16_FX-Learning_ZT-listen_RS-P3X1R1C3_gy_jql,inactive,3,actions:app_custom_event.fb_mobile_purchase,68.34666667,260619_ABO_AEO-Purchase_ios_vid_Growme_WW_0618_joy,48641,4.215374,205.04,60,3.417333,3,68.346667,3,68.346667,0.337349,2.006538,0.07712082,16.042022,205,,
2025-12-01,2026-06-26,20260618_GrowMe_EN_9x16_FX-Mindset_ZT-love_RS-P3X1R1C3_gy,active,,,,260619_ABO_AEO-Purchase_ios_vid_Growme_WW_0618_joy,207,3.574879,0.74,1,0.74,,,,,,1.449275,0.33333333,18.84058,5,,
2025-12-01,2026-06-26,20260618_GrowMe_EN_9x16_FX-Learning_ZT-iPhone_RS-P3X1R1C3_gy,active,,,,260619_ABO_AEO-Purchase_ios_vid_Growme_WW_0618_joy,21322,2.018572,43.04,15,2.869333,,,,,,0.909858,0.18072289,21.714661,173,,
2025-12-01,2026-06-26,20260616_growme_EN_9x16_FX-aitalk_ZT-niceleader_RS-P1X1R3C3_wxx,active,,,,260619_ABO_AEO-Purchase_ios_vid_Growme_WW_0618_joy,107,7.28972,0.78,,,,,,,,2.803738,0,22.429907,1,,
2025-12-01,2026-06-26,20260615_GrowMe_EN_9x16_FX-LifeLessons_ZT-future_RS-P3X1R1C3_gy_jql,active,,,,260624_ABO_AEO-Purchase_ios_vid_Growme_WW_0615排最好_joy,150,2.6,0.39,,,,,,,,1.333333,0,26.666667,,,
2025-12-01,2026-06-26,20260615_GrowMe_EN_9x16_FX-Mindset_ZT-optimism_RS-P3X1R1C3_gy_jql,active,,,,260624_ABO_AEO-Purchase_ios_vid_Growme_WW_0615排最好_joy,18,0.555556,0.01,,,,,,,,5.555556,,16.666667,,,
2025-12-01,2026-06-26,"20260612_GrowMe_EN_9x16_FX-Communication_ZT- powerfully_RS-P3X1R1C3_fj",active,,,,260624_ABO_AEO-Purchase_ios_vid_Growme_WW_0615排最好_joy,4,0,0,,,,,,,,0,,,,,
2025-12-01,2026-06-26,20260618_GrowMe_EN_9x16_FX-Learning_ZT-yale_RS-P3X1R1C3_gy_jql,inactive,,,,260619_ABO_AEO-Purchase_ios_vid_Growme_WW_0618_joy,7285,3.559369,25.93,6,4.321667,,,,,,1.262869,0.13043478,19.917639,31,,
2025-12-01,2026-06-26,20260618_GrowMe_EN_9x16_FX-LifeLessons_ZT-yourself_RS-P3X1R1C3_gy_jql,active,,,,260619_ABO_AEO-Purchase_ios_vid_Growme_WW_0618_joy,59,2.20339,0.13,,,,,,,,1.694915,0,18.644068,,,
2025-12-01,2026-06-26,20260618_GrowMe_EN_9x16_FX-Lifelessons_ZT-did_RS-P3X1R1C3_gy,active,,,,260619_ABO_AEO-Purchase_ios_vid_Growme_WW_0618_joy,2303,3.317412,7.64,2,3.82,,,,,,1.563178,0.08695652,19.452888,20,,
2025-12-01,2026-06-26,20260618_GrowMe_EN_9x16_FX-Learning_ZT-speaking_RS-P3X1R1C3_gy_jql,inactive,,,,260619_ABO_AEO-Purchase_ios_vid_Growme_WW_0618_joy,11414,3.047135,34.78,21,1.65619,,,,,,1.56825,0.1826087,16.795164,97,,
2025-12-01,2026-06-26,20260618_GrowMe_EN_9x16_FX-EmotionalHealth_ZT-nature_RS-P3X1R1C3_gy_jql,active,,,,260619_ABO_AEO-Purchase_ios_vid_Growme_WW_0618_joy,414,4.661836,1.93,1,1.93,,,,,,1.207729,1,20.048309,4,,
2025-12-01,2026-06-26,20260618_GrowMe_EN_9x16_FX-Communication_ZT-respect_RS-P3X1R1C3_gy,active,,,,260619_ABO_AEO-Purchase_ios_vid_Growme_WW_0618_joy,442,2.624434,1.16,,,,,,,,0.452489,0,16.515837,2,,
2025-12-01,2026-06-26,20260618_GrowMe_EN_9x16_FX-Learning_ZT-pace_RS-P3X1R1C3_gy_jql,inactive,13,actions:app_custom_event.fb_mobile_purchase,46.71,260619_ABO_AEO-Purchase_ios_vid_Growme_WW_0618_joy,183647,3.306507,607.23,255,2.381294,23,26.401304,13,46.71,0.524958,1.036227,0.25474525,19.204779,1362,,
2025-12-01,2026-06-26,20260618_growme_EN_9x16_FX-LifeLessons_ZT-takeaction_RS-P1X1R3C3_wxx,active,,,,260619_ABO_AEO-Purchase_ios_vid_Growme_WW_0618_joy,22,0.454545,0.01,,,,,,,,0,,22.727273,,,
2025-12-01,2026-06-26,20260615_growme_EN_9x16_FX-aitalk_ZT-8minutes_RS-P1X1R3C3_wxx,active,,,,260619_ABO_AEO-Purchase_ios_vid_Growme_WW_0618_joy,516,8.449612,4.36,,,,,,,,1.162791,0,20.348837,5,,
2025-12-01,2026-06-26,20260616_growme_EN_9x16_FX-aitalk_ZT-3months_RS-P1X1R3C3_wxx,active,,,,260619_ABO_AEO-Purchase_ios_vid_Growme_WW_0618_joy,11,1.818182,0.02,,,,,,,,0,,18.181818,,,
2025-12-01,2026-06-26,20260618_Growme_EN_9x16_FX-Creative_JB-061801-ZR_ZT-book3_RS-P2X1R1C3_095KB-JL_RMG-5714C,inactive,,,,260619_ABO_AEO-Purchase_ios_vid_Growme_WW_0618_joy,38147,1.975516,75.36,32,2.355,1,75.36,,,,1.101004,0.17486339,16.646132,445,,
2025-12-01,2026-06-26,20260618_growme_EN_9x16_FX-Learning_ZT-quitread_RS-P1X1R3C3_wxx,inactive,,,,260619_ABO_AEO-Purchase_ios_vid_Growme_WW_0618_joy,7899,3.120648,24.65,15,1.643333,,,,,,1.949614,0.15789474,21.129257,86,,
2025-12-01,2026-06-26,20260617_GrowMe_EN_9x16_FX-Lifelessons_ZT-hard1_RS-P3X1R1C3_gy,active,,,,260618_ABO_AEO-Purchase_ios_vid_Growme_WW_0617_joy,60,2.166667,0.13,,,,,,,,0,,11.666667,,,
2025-12-01,2026-06-26,20260617_GrowMe_EN_9x16_FX-Communication_ZT-powerCommunication_RS-P3X1R1C3_fj,active,2,actions:app_custom_event.fb_mobile_purchase,23.635,260618_ABO_AEO-Purchase_ios_vid_Growme_WW_0617_joy,12466,3.791914,47.27,16,2.954375,2,23.635,2,23.635,1.309287,1.090967,0.15533981,14.703995,101,,
2025-12-01,2026-06-26,20260617_GrowMe_EN_9x16_FX-Learning_ZT-10mins_RS-P3X1R1C3_fj,active,,,,260618_ABO_AEO-Purchase_ios_vid_Growme_WW_0617_joy,1280,2.890625,3.7,,,1,3.7,,,,2.5,0,27.96875,33,,
