报告开始日期,报告结束日期,广告名称,广告投放,成效,成效指标,单次成效费用,广告组名称,展示次数,"已花费金额 (USD)",应用安装量,"单次应用安装费用 (USD)",订阅次数,"单次订阅费用 (USD)",购物次数,"单次购物费用 (USD)","广告花费回报 (ROAS) - 购物",点击率（全部）,custom_derived_metrics:334261784830934,结果（初始）,成效（初始）指标
2026-05-01,2026-06-15,20260608_GrowMe_EN_9x16_FX-Mindset_ZT-value_RS-P3X1R1C3_fj_jql,inactive,,,,260609_AAA_AEO-Purchase_ios_vid_Growme_WW_0608_joy,20303,59.17,13,4.551538,2,29.585,,,,0.753583,0.13402062,,
2026-05-01,2026-06-15,20260609_GrowMe_EN_9x16_FX-Learning_ZT-howto_RS-P3X1R1C3_fj,active,,,,260610_AAA_AEO-Purchase_ios_vid_Growme_WW_0609_joy,105,0.33,,,,,,,,0,,,
2026-05-01,2026-06-15,20260609_GrowMe_EN_9x16_FX-Mindset_ZT-think_RS-P3X1R1C3_gy_jql,active,11,actions:app_custom_event.fb_mobile_purchase,48.65818182,260610_AAA_AEO-Purchase_ios_vid_Growme_WW_0609_joy,287418,535.24,214,2.501122,19,28.170526,11,48.658182,0.408751,1.124495,0.20322887,,
2026-05-01,2026-06-15,20260609_GrowMe_EN_9x16_FX-Mindset_ZT-happen_RS-P3X1R1C3_gy_jql,active,,,,260610_AAA_AEO-Purchase_ios_vid_Growme_WW_0609_joy,184,0.33,,,,,,,,2.173913,0,,
2026-05-01,2026-06-15,20260609_GrowMe_EN_9x16_FX-Mindset_ZT-try_RS-P3X1R1C3_gy_jql,active,,,,260610_AAA_AEO-Purchase_ios_vid_Growme_WW_0609_joy,200,0.69,,,,,,,,2,0,,
2026-05-01,2026-06-15,20260608_GrowMe_EN_9x16_FX-LifeLessons_ZT-goutong_RS-P3X1R1C3_gy,inactive,,,,260609_AAA_AEO-Purchase_ios_vid_Growme_WW_0608_joy,21952,51.89,15,3.459333,1,51.89,,,,1.070517,0.16853933,,
2026-05-01,2026-06-15,20260608_GrowMe_EN_9x16_FX-Learning_ZT-English_RS-P3X1R1C3_gy,inactive,,,,260609_AAA_AEO-Purchase_ios_vid_Growme_WW_0608_joy,25425,48.1,23,2.091304,2,24.05,,,,0.936087,0.21100917,,
2026-05-01,2026-06-15,20260608_GrowMe_EN_9x16_FX-LifeLessons_ZT-life_RS-P3X1R1C3_gy,active,,,,260609_AAA_AEO-Purchase_ios_vid_Growme_WW_0608_joy,4767,13.3,6,2.216667,,,,,,0.985945,0.21428571,,
2026-05-01,2026-06-15,20260608_GrowMe_EN_9x16_FX-LifeLessons_ZT-self_RS-P3X1R1C3_gy,inactive,13,actions:app_custom_event.fb_mobile_purchase,47.12615385,260609_AAA_AEO-Purchase_ios_vid_Growme_WW_0608_joy,290364,612.64,319,1.920502,22,27.847273,13,47.126154,0.516029,1.192985,0.33091286,,
2026-05-01,2026-06-15,20260608_GrowMe_EN_9x16_FX-LifeLessons_ZT-opinion_RS-P3X1R1C3_gy,inactive,2,actions:app_custom_event.fb_mobile_purchase,50.335,260609_AAA_AEO-Purchase_ios_vid_Growme_WW_0608_joy,34027,100.67,38,2.649211,6,16.778333,2,50.335,0.33287,1.028595,0.19689119,,
2026-05-01,2026-06-15,"20260608_GrowMe_EN_9x16_FX-Learning_ZT- love work_RS-P3X1R1C3_fj",active,,,,260609_AAA_AEO-Purchase_ios_vid_Growme_WW_0608_joy,135,0.4,,,,,,,,1.481481,0,,
2026-05-01,2026-06-15,20260608_GrowMe_EN_9x16_FX-Learning_ZT-slowenglish_RS-P3X1R1C3_fj,active,,,,260609_AAA_AEO-Purchase_ios_vid_Growme_WW_0608_joy,64,0.2,,,,,,,,0,,,
2026-05-01,2026-06-15,"20260608_GrowMe_EN_9x16_FX-Learning_ZT- reading_RS-P3X1R1C3_fj",inactive,,,,260609_AAA_AEO-Purchase_ios_vid_Growme_WW_0608_joy,15176,47.23,13,3.633077,,,,,,2.853189,0.02826087,,
2026-05-01,2026-06-15,20260608_GrowMe_EN_9x16_FX-Learning_ZT-b2_RS-P3X1R1C3_fj,active,,,,260609_AAA_AEO-Purchase_ios_vid_Growme_WW_0608_joy,610,2.33,,,,,,,,6.721311,0,,
2026-05-01,2026-06-15,20260608_GrowMe_EN_9x16_FX-LifeLessons_ZT-relationships_RS-P3X1R1C3_fj,active,,,,260609_AAA_AEO-Purchase_ios_vid_Growme_WW_0608_joy,540,1.34,1,1.34,,,,,,2.962963,0.05882353,,
2026-05-01,2026-06-15,20260608_GrowMe_EN_9x16_FX-Mindset_ZT-truest_RS-P3X1R1C3_fj_jql,active,,,,260609_AAA_AEO-Purchase_ios_vid_Growme_WW_0608_joy,929,3.16,,,,,,,,1.399354,0,,
2026-05-01,2026-06-15,"20260608_GrowMe_EN_9x16_FX-EmotionalHealth_ZT-4 sign_RS-P3X1R1C3_fj_jql",active,,,,260609_AAA_AEO-Purchase_ios_vid_Growme_WW_0608_joy,1536,3.64,,,,,,,,0.455729,0,,
