报告开始日期,报告结束日期,广告名称,广告投放,成效,成效指标,单次成效费用,广告组名称,展示次数,"已花费金额 (USD)",点击率（全部）,custom_derived_metrics:334261784830934,应用安装量,"单次应用安装费用 (USD)",订阅次数,"单次订阅费用 (USD)",购物次数,"单次购物费用 (USD)","广告花费回报 (ROAS) - 购物","单次展示的播放视频达 3 秒率","视频播放进度达 100% 的次数",视频平均播放时长,结果（初始）,成效（初始）指标
2026-05-01,2026-06-08,"20260603_GrowMe_EN_9x16_FX-Mindset_ZT- just reminder_RS-P3X1R1C3_fj_jql",active,,,,260605_AAA_AEO-Purchase_ios_vid_Growme_WW_0604_joy,381,1.06,0.787402,0,,,,,,,,26.246719,1,6,,
2026-05-01,2026-06-08,20260604_GrowMe_EN_9x16_FX-Quotes_ZT-stop_RS-P3X1R1C3_fj,active,,,,260605_AAA_AEO-Purchase_ios_vid_Growme_WW_0604_joy,5,0,0,,,,,,,,,20,,8,,
2026-05-01,2026-06-08,20260604_GrowMe_EN_9x16_FX-LifeLessons_ZT-try_RS-P3X1R1C3_gy,active,,,,260605_AAA_AEO-Purchase_ios_vid_Growme_WW_0604_joy,35,0.02,2.857143,,,,,,,,,20,2,3,,
2026-05-01,2026-06-08,20260603_GrowMe_EN_9x16_FX-WomenEmpowerment_ZT-nofriends_RS-P3X1R1C3_fj,active,,,,260604_AAA_AEO-Purchase_ios_vid_Growme_WW_0603_joy,1208,3.23,1.490066,0,,,,,,,,23.344371,10,9,,
2026-05-01,2026-06-08,20260603_GrowMe_EN_9x16_FX-WomenEmpowerment_ZT-forgive_RS-P3X1R1C3_gy,inactive,1,actions:app_custom_event.fb_mobile_purchase,64.38,260604_AAA_AEO-Purchase_ios_vid_Growme_WW_0603_joy,24895,64.38,1.421972,0.05238095,11,5.852727,2,32.19,1,64.38,0.169307,20.224945,292,6,,
2026-05-01,2026-06-08,20260603_GrowMe_EN_9x16_FX-Quotes_ZT-nostalgia_RS-P3X1R1C3_gy,active,,,,260604_AAA_AEO-Purchase_ios_vid_Growme_WW_0603_joy,536,0.71,1.119403,0.25,1,0.71,,,,,,15.485075,4,2,,
2026-05-01,2026-06-08,20260603_GrowMe_EN_9x16_FX-Formats_ZTdonghua_RS-P3X1R1C3_gy,active,,,,260604_AAA_AEO-Purchase_ios_vid_Growme_WW_0603_joy,100,0.09,1,,,,,,,,,11,,2,,
2026-05-01,2026-06-08,20260603_GrowMe_EN_9x16_FX-fear_ZT-d1_RS-P3X1R1C3_fj,inactive,1,actions:app_custom_event.fb_mobile_purchase,56.6,260604_AAA_AEO-Purchase_ios_vid_Growme_WW_0603_joy,25346,56.6,1.073148,0.21621622,24,2.358333,2,28.3,1,56.6,0.474205,16.827113,176,7,,
2026-05-01,2026-06-08,20260603_GrowMe_EN_9x16_FX-Mindset_ZT-stronger_RS-P3X1R1C3_gy,active,,,,260604_AAA_AEO-Purchase_ios_vid_Growme_WW_0603_joy,45,0.09,0,,,,,,,,,17.777778,,2,,
2026-05-01,2026-06-08,20260603_GrowMe_EN_9x16_FX-Quotes_ZT-11things_RS-P3X1R1C3_fj,active,,,,260604_AAA_AEO-Purchase_ios_vid_Growme_WW_0603_joy,651,1.5,0.768049,0,,,,,,,,27.18894,5,4,,
