报告开始日期,报告结束日期,广告名称,广告投放,成效,成效指标,单次成效费用,广告组名称,展示次数,"已花费金额 (USD)",点击率（全部）,custom_derived_metrics:334261784830934,应用安装量,"单次应用安装费用 (USD)",订阅次数,"单次订阅费用 (USD)",购物次数,"单次购物费用 (USD)","广告花费回报 (ROAS) - 购物","单次展示的播放视频达 3 秒率","视频播放进度达 100% 的次数",视频平均播放时长,结果（初始）,成效（初始）指标
2026-05-01,2026-06-08,20260529_growme_EN_9x16_FX-Creative_ZT-leadership_RS-P1X1R3C3_ZH_RMG-4748F,active,,,,260602_AAA_AEO-Purchase_ios_vid_Growme_WW_0601_joy,235,0.63,0,,,,,,,,,19.148936,,3,,
2026-05-01,2026-06-08,20260529_growme_EN_9x16_FX-Creative_ZT-leadership_RS-P1X1R3C3_ZH_RMG-4748D,active,,,,260602_AAA_AEO-Purchase_ios_vid_Growme_WW_0601_joy,71,0.16,2.816901,0,,,,,,,,9.859155,,2,,
2026-05-01,2026-06-08,20260601_growme_EN_9x16_FX-Learning_ZT-booklist_RS-P1X1R3C3_wxx,active,,,,260602_AAA_AEO-Purchase_ios_vid_Growme_WW_0601_joy,170,0.31,0.588235,0,,,,,,,,12.352941,1,4,,
2026-05-01,2026-06-08,20260601_GrowMe_EN_9x16_FX-LifeLessons_ZT-nomoney_RS-P3X1R1C3_fj,active,,,,260602_AAA_AEO-Purchase_ios_vid_Growme_WW_0601_joy,115,0.26,0.869565,0,,,,,,,,23.478261,6,4,,
2026-05-01,2026-06-08,20260529_growme_EN_9x16_FX-Creative_ZT-leadership_RS-P1X1R3C3_ZH_RMG-4748G,active,,,,260602_AAA_AEO-Purchase_ios_vid_Growme_WW_0601_joy,404,1.2,0.742574,0,,,,,,,,20.792079,5,6,,
2026-05-01,2026-06-08,20260529_growme_EN_9x16_FX-Creative_ZT-leadership_RS-P1X1R3C3_ZH_RMG-4748H,active,,,,260602_AAA_AEO-Purchase_ios_vid_Growme_WW_0601_joy,303,0.77,0,,,,,,,,,23.10231,2,3,,
2026-05-01,2026-06-08,20260601_GrowMe_EN_9x16_FX-Communication_ZT-read_RS-P3X1R1C3_gy,active,1,actions:app_custom_event.fb_mobile_purchase,17.49,260602_AAA_AEO-Purchase_ios_vid_Growme_WW_0601_joy,9037,17.49,0.98484,0.20454545,9,1.943333,1,17.49,1,17.49,0.44311,21.533695,75,8,,
2026-05-01,2026-06-08,20260601_GrowMe_EN_9x16_FX-Quotes_ZT-xiezi_RS-P3X1R1C3_fj,inactive,,,,260602_AAA_AEO-Purchase_ios_vid_Growme_WW_0601_joy,36579,111.92,1.003308,0.05797101,8,13.99,,,,,,39.848,390,7,,
2026-05-01,2026-06-08,20260601_growme_EN_9x16_FX-Learning_ZT-communication_RS-P1X1R3C3_wxx,inactive,1,actions:app_custom_event.fb_mobile_purchase,77.46,260602_AAA_AEO-Purchase_ios_vid_Growme_WW_0601_joy,44171,77.46,1.96509,0.24542125,67,1.156119,2,38.73,1,77.46,0.165634,17.48885,540,7,,
2026-05-01,2026-06-08,20260601_growme_EN_9x16_FX-lifelessons_ZT-education_RS-P1X1R3C3_wxx,active,3,actions:app_custom_event.fb_mobile_purchase,11.98333333,260602_AAA_AEO-Purchase_ios_vid_Growme_WW_0601_joy,23298,35.95,1.08593,0.20720721,23,1.563043,3,11.983333,3,11.983333,1.304868,18.241909,215,6,,
2026-05-01,2026-06-08,20260601_growme_EN_9x16_FX-Finance_ZT-maderich_RS-P1X1R3C3_wxx,active,,,,260602_AAA_AEO-Purchase_ios_vid_Growme_WW_0601_joy,556,1.29,0.539568,0,,,,,,,,21.402878,6,6,,
2026-05-01,2026-06-08,20260601_GrowMe_EN_9x16_FX-Learning_ZT-englishpresentation_RS-P3X1R1C3_fj,active,,,,260602_AAA_AEO-Purchase_ios_vid_Growme_WW_0601_joy,13062,26.3,1.860358,0.14792899,25,1.052,,,,,,18.634206,114,5,,
2026-05-01,2026-06-08,20260529_growme_EN_9x16_FX-Creative_ZT-leadership_RS-P1X1R3C3_ZH_RMG-4748A,active,,,,260602_AAA_AEO-Purchase_ios_vid_Growme_WW_0601_joy,64,0.13,1.5625,0,,,,,,,,17.1875,,2,,
2026-05-01,2026-06-08,20260529_growme_EN_9x16_FX-Creative_ZT-leadership_RS-P1X1R3C3_ZH_RMG-4748B,active,,,,260602_AAA_AEO-Purchase_ios_vid_Growme_WW_0601_joy,7,0.02,0,,,,,,,,,28.571429,,2,,
2026-05-01,2026-06-08,20260529_growme_EN_9x16_FX-Creative_ZT-leadership_RS-P1X1R3C3_ZH_RMG-4748J,active,,,,260602_AAA_AEO-Purchase_ios_vid_Growme_WW_0601_joy,1736,4.54,1.036866,0.2,1,4.54,1,4.54,,,,16.647465,8,2,,
2026-05-01,2026-06-08,20260529_growme_EN_9x16_FX-Creative_ZT-leadership_RS-P1X1R3C3_ZH_RMG-4748E,active,,,,260602_AAA_AEO-Purchase_ios_vid_Growme_WW_0601_joy,490,1.47,0.816327,0,,,,,,,,22.857143,17,8,,
2026-05-01,2026-06-08,20260601_GrowMe_EN_9x16_FX-Learning_ZT-eadingpower_RS-P3X1R1C3_fj,active,,,,260602_AAA_AEO-Purchase_ios_vid_Growme_WW_0601_joy,1585,4.14,0.946372,0.08333333,1,4.14,,,,,,19.053628,8,3,,
